,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,户型介绍,周边配套,装修描述,用水类型,用电类型,售房详情,税费解析,适宜人群,交通出行,燃气价格,别墅类型,权属抵押
18,['至高钱塘一品'],钱塘区-大江东,120.464027,30.307563,280,21676,提前预约随时可看,103117774335,1,3室2厅1厨2卫,低楼层 (共25层),129.18㎡,平层,暂无数据,板塔结合,东 南,钢混结构,精装,两梯两户,有,2021-10-24,商品房,2014-08-28,普通住宅,满五年,共有,"
                                有抵押 工行萧东支行
                              ",已上传房本照片,200608844910,"
                    此房满五唯一，南北通，采光充足，配套设施齐全，地铁口200米
                  ","
                    小区环境优雅，居住的人群素质高，邻里关系和谐，交通便利离菜市场较近。小区前面20米就是镇政府公园 饭后散步 运动 跳广场相对方便
                  ","
                    地铁口200米，小区南面一路之隔大型文体馆，里面有健身房，图书馆，游泳馆等，小区西面就是河庄大道，往南直走可达到机场东大门，往西北方向走可以经过江东大桥去下沙，小区往南500米有两个小型综合体，吃喝玩乐一应俱全，满足您日常所需。
                  ",,"
                    公交有351下沙通往瓜沥 733通往萧山 地铁8号线河庄站通往下沙文海南路站 与1号线无缝接轨，自驾游德胜高架 在建艮山东路快速抵达下沙 规划高铁 萧山机场 地铁8号线河庄站离小区200米出行方便
                  ",,,,,,,,,,
19,['东海柠檬郡'],钱塘区-工业园南,120.32762347121,30.30332311597,226,33066,提前预约随时可看,103117795196,3,2室1厅1厨1卫,中楼层 (共26层),68.35㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2021-10-25,商品房,2017-04-24,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,211025PF404116,"
                    此房满五唯一，格局好，楼层好，品质小区，采光充足
                  ","
                    东海柠檬郡自带泳池和健身房，小区的环境好，小区的绿化是东南亚风情，小区的物业是东海物业，小区实施的是人车分流。配套成熟，交通便利，居住舒适
                  ","
                    客厅带阳台，主卧朝南次卧朝北，四面通风，卫生间干湿分离，主卧带飘窗
                  ","
                    买来就是为了自己居住的，所以装修也比较用心，保养的比较好，拎包入住
                  ",,"
                    门口就是快速公交，B1区间。距离金沙湖地铁站1.6公里。交通出行是比较便利的
                  ",,,,,,,,,
20,['宋都东郡国际锦湾'],钱塘区-大学城北,120.398104,30.33263,200,29395,提前预约随时可看,103117809358,1,2室1厅1厨1卫,中楼层 (共32层),68.04㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯六户,有,2021-10-26,商品房,2017-10-10,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,180520718656,"
                    此房楼层好，自住精装修，保养好，干净清爽
                  ","
                    该小区为三期，共有10幢高层，朝南1-4幢，东西两边为5/6幢，朝北一面7-10幢，环形分布，小区每幢的采光均无遮挡，小区的中间是个大草坪，也是小孩子和老人的娱乐活动场所，小区自住率很高，环境氛围 好，旁边就是幼儿园l，接孩子上下学很方便
                  ","
                    南边便是物美 肯德基 星巴克 农贸市场，配套齐，西边是农贸市场，地铁口，居住舒适，配套齐全
                  ",,"
                    
社区公交环线，（448.370.3401等）出行方便，高速口下沙，交通四通八达
                  ",,,,,,,,,,
21,['德嘉金沙阳光'],钱塘区-金沙湖,120.34076580608,30.308467196442,240,27501,提前预约随时可看,103116535706,23,2室2厅1厨1卫,中楼层 (共28层),87.27㎡,平层,65.91㎡,板塔结合,南,框架结构,简装,两梯四户,有,2021-08-09,商品房,2012-09-27,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,170502587662,"
                    此房子已经满五年了，业主唯一，税费少，户型正气，全南户型。
                  ","
                    此小区的开发商是：浙江商博置业有限公司 物业：2018年4月底之前浙江华泰物业服务有限公司 目前是万科的物业接管的。相比之前的服务好很多的。无论是卫生、小区的车位管理还是小区大门的保安都是24小时的
                  ","
                    适合年轻刚结婚的人群，考虑到孩子生下来以后，上学方便，幼儿园，小至初 均与小区一路之隔，不用太费心孩子上学。
                  ",,,,,,,,"
                    小区一条马路之隔有景苑小 学，景苑幼 儿 园，景苑中 学，小区到地铁口距离为500米，离小区500米范围内有多家商 业综合体，龙湖天街，印象城，世纪联华
                  ",,,,
22,['多蓝水岸蓝波苑'],钱塘区-沿江北,120.392297,30.299258,300,25459,提前预约随时可看,103115426349,19,3室2厅1厨1卫,中楼层 (共11层),117.84㎡,平层,暂无数据,板塔结合,南,混合结构,简装,一梯两户,有,2021-06-06,商品房,2009-07-22,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210606NY535531,"
                    东边套 全明户型 房东诚心出售 看房方便
                  ","
                    此房所在小区楼间距大，物业为浙江广厦物业公司，每天都有保安巡逻，安全舒适，小区内还有地上停车位，让进来拜访业主的客人都有停车之地
                  ","
                    距离小区西门300米就是物美大卖场，小区北门口出去就是东东城，餐饮，影院，儿童娱乐设施完备，距离小区100米处有大型农贸市场以及一个综合医院
                  ",,"
                    小区西门口多路公交车，下沙都能直达。如果到市区或者滨江小区可以到云水或者地铁一号线江滨站地铁口，地铁直达。
                  ",,,,,,,,,,
23,['保利东湾'],钱塘区-沿江南,120.380441,30.280719,250,26827,提前预约随时可看,103113494190,34,3室2厅1厨2卫,高楼层 (共33层),93.19㎡,平层,69.51㎡,板塔结合,南,钢混结构,简装,两梯三户,有,2021-02-24,商品房,2014-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210224GZ600228,"
                    保利东湾边套户型，利用面积大，次卧带阳台， 诚心卖
                  ","
                    保利为央企，此房所在小区是2010年新建商品房社区。 楼间距大，物业为保利物业公司，每天都有保安巡逻，安全舒适，小区内还有地下停车场，此房位于下沙经济开发区，24号大街沿线
                  ","
                    
金隅农贸市场，东湾购物*市，金隅Smart街，保利湾天地各色商铺（约70家） ：新美商场、物美*市、都尚购物、太平洋百货、福雷德广场 银行：工商银行、建设银行、交通银行
                  ",,,,,,,,,,,,
24,['宋都晨光国际'],钱塘区-沿江南,120.385947,30.290535,360,26838,提前预约随时可看,103116563967,23,3室2厅1厨2卫,中楼层 (共31层),134.14㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯两户,有,2021-08-11,商品房,2018-07-20,普通住宅,满两年,非共有,"
                                有抵押 130万元 客户偿还
                              ",已上传房本照片,180504369856,"
                    开间朝南，户型方正，精装修可拎包入住，采光充足，交通便利 
                  ","
                    宋都晨光国际规划采用点板式相结合的对称式布局，建筑天际线错落有致，在实现产品均好品质的基础上，尽量让每幢建筑拥有阔绰的空间，小区高层近150米。建筑单体设计健康住宅，尽量给予充足日，大门口24小时保安值班，一人一卡，小区业主大部分自住
                  ","
                    小区地铁一号线终点站，公交路线有384,374.298.449.302，德胜快速路已开通，就近的医院有东方医院和邵逸夫医院，北门1200米有物美卖场和邮政储蓄银行、1500米有东东城、3.2公里有中国银行；距小区南门入口150米就是听涛、
                  ",,"
                    此小区处于下沙沿江板块，沿之江东路可直达钱江新城，走下沙路直达武林，走德胜直达城西，小区西面公交车站，二十三号路二十号大街口，路经该站的公交车有384.298.374.449等路线，地铁1号线，下沙江滨站300米
                  ",,,,,,,,,,
25,['金地都会钱塘东区'],钱塘区-大学城北,120.394767,30.335762,260,29070,提前预约随时可看,103114533232,59,3室2厅1厨2卫,低楼层 (共8层),89.44㎡,平层,74.79㎡,板塔结合,南,钢混结构,精装,一梯两户,有,2021-04-17,商品房,2019-10-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,200820ND477256,"
                    花园洋房，一梯两户，得房率高，业主用心装修，诚心出售
                  ","
                    金地宋都都会钱塘位于江干区下沙大学城北板块水云街与文淙北路交叉口，是由金地地产和宋都集团两大开发商联手打造的33万方大型综合体。项目由16幢洋房，2幢高层及1幢自持组成，共963户。 交通配套：距离1号线文海南路站约2.5公里；3公里左右可到德胜快速路
                  ","
                    次新房2019年交付。此房在小区位置，视野一览无余，视野开阔，小区景观绿化一览无余，新升级户型：户型，业主诚心出售的。厨卫全明。格局好，方正利用率高。适合自住的好户型
                  ","
                    物美*市 肯德基 星巴克等，项目自带圈圈里商场，大学城北农贸市场也在家门口，2公里范围内还有高尔夫球场以及百联奥特莱斯。


                  ",,,,,,,,,,,
26,['保利东湾'],钱塘区-沿江南,120.380441,30.280719,480,22531,提前预约随时可看,103111411097,46,4室2厅1厨3卫,高楼层 (共32层),213.04㎡,平层,171.82㎡,板塔结合,南,钢混结构,简装,两梯两户,有,2020-09-22,商品房,2013-10-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,200922QP013828,"
                    简单装修，房东诚心，看房方便，一线江景
                  ","
                    开发商物业都是保利旗下的，500强企业，物业管理好，小区绿化环境很棒，早晚小区保安巡逻，便民福利活动，缝补衣服磨刀具等
                  ","
                    学正幼儿园、听涛幼儿园 江湾幼儿园，杭州电子科技大学软件.杭州经济职业技术，工商。
                  ",,,,,,,,,,,,
27,['野风海天城'],钱塘区-沿江北,120.392025,30.305502,315,26930,有租户需预约,103116503609,17,3室1厅1厨1卫,高楼层 (共24层),116.97㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,有,2021-08-07,商品房,2016-10-12,普通住宅,满五年,共有,"
                                有抵押 90万元
                              ",已上传房本照片,200727RA701348,"
                    边套大三房，房子满五年，诚心卖，户型好
                  ","
                    房所在小区是2007年新建商品房社区，小区内主力楼盘为高层板楼，楼间距大，物业为野风物业，开发商自己的物业，每天都有保安巡逻，夏天还会定时清洗路面，安全舒适，小区人车分流，地上和地下停车位都有
                  ","
                    西门出来就是物美。南门出来就是就是小美食街，走过去一点就是东东城休闲娱乐。 小区介绍：小区绿化环境好，楼栋密度低，人文素质高。都是白领人物居住。西北门出来就是云水站。
                  ",,"
                    公交：学正街公交站(373路104路) 二十七号路六号大街口(373路104路) 十号大街二十七号路口(373路104路） 地铁：1号线 云水站 快速公交： B1区间
                  ",,,,,,,,,,
28,['铭和苑新荷坊'],钱塘区-金沙湖,120.336303,30.322442,265,31481,提前预约随时可看,103115584062,24,3室1厅1厨1卫,中楼层 (共11层),84.18㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-06-15,商品房,2017-06-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210613AZ424517,"
                    
房东诚心出售精装修住房，采光好，通风好  铭和苑东边套3房户型
                  ","
                    此房屋配套齐全，繁华地段，商场、酒店、菜市场、地铁、医院配套齐全，适合上班族，养老居住。
                  ",,,"
                    地铁金沙湖站、高沙站双地铁口 去往市区德胜快速路方便快捷 之江东路
                  ",,,,,,"
                    
商场：龙湖天街、银泰、金沙印象城 公园：金沙湖公园 医院：邵逸夫医院、中医院 酒店：龙湖假日酒店、希尔顿酒店
                  ",,,,
29,['宋都晨光国际'],钱塘区-沿江南,120.385947,30.290535,342,39666,提前预约随时可看,103116473928,26,3室1厅1厨2卫,中楼层 (共29层),86.22㎡,跃层,暂无数据,板楼,南 北,框架结构,精装,两梯四户,有,2021-08-06,商品房,2016-11-04,普通住宅,满两年,共有,"
                                有抵押 120万元
                              ",已上传房本照片,210807RA664340,"
                    房子精装修，视野开阔无遮挡，诚心出售
                  ","
                    宋都晨光国际规划采用点板式相结合的对称式布局，建筑天际线错落有致，在实现产品均好品质的基础上，尽量让每幢建筑拥有阔绰的空间，小区高层近150米。建筑单体设计健康住宅，尽量给予充足日照
                  ","
                    此房位于25号大街，下沙地铁终点站下沙江滨站，下沙江滨公交终点站只需800米，交通方便，小区楼下有农贸市场小卖部等，生活配套齐全
                  ",,,,,,,,,,,,
