,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,适宜人群,周边配套,用水类型,用电类型,燃气价格,户型介绍,装修描述,税费解析,权属抵押,售房详情,交通出行,别墅类型
10,['浙港国际'],西湖-申花,120.099233,30.314956,93,29099,有租户需预约,103117864737,3,2室1厅1厨1卫,低楼层 (共17层),31.96㎡,暂无数据,23.44㎡,板塔结合,北,钢混结构,精装,六梯六十五户,有,2021-10-30,商品房,2017-09-24,商住两用,满两年,共有,"
                                有抵押 25万元 业主自还
                              ",已上传房本照片,201009IH621857,"
                    此房精装修，总价低，交通方便，诚心出售 
                  ","
                    浙港国际位于杭州市西湖申花板块，由杭州天煌紫荆港房地产开发有限公司建成，总建筑面积99073，总占地面积19778，共计房屋1693户，小区物业公司为绿城物业服务集团有限公司
                  ","
                    房子无住房按揭贷款，无房屋抵押贷款，产权清晰，诚心出售，看房方便
                  ",,,商水,商电,,,,,"
                    小区旁边东有城西银泰，南有印象城，西有西溪银泰和浙大紫金港校区，北有杭州家居时代广场，地铁2号线300米
                  ",,,
11,['赞成岭上花苑'],西湖-转塘,120.066269,30.151306,447,29918,提前预约随时可看,103117801897,2,3室2厅1厨2卫,高楼层 (共16层),149.41㎡,平层,119.81㎡,板楼,南,钢混结构,毛坯,两梯两户,有,2021-10-26,商品房,2015-03-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201201VH431662,"
                    此房五年免增值税，户型格局好，毛坯房可自由先择装修风格
                  ","
                    小区总共有23幢房子：15幢排屋和8幢高层组成，位于杭州之江国家旅游度假区转塘内，北临望江山。小区占地5.8万方，建筑面积14万方，2009年建成的小区，新欣物业管理，排屋1.5元/平/月，高层1.7元/平/月
                  ","
                    
此房为商品房，满五年免增值税，有个税1%，契税首套1%，90平米以上（含90平米）契税1.5%，二套契税2%，（90平米以下1%），90平米以上（含90平米）首套契税1.5%，二套契税2%
                  ",,"
                    赞成岭上将引进小区公共交通系统，便捷出行。另外，还有308、318、331等多条公交线路，可供多种选择。地铁6号线凤凰公园站;自驾车，可从320国道和之江路带西湖，经紫之隧道可到达西溪未来科技城，经之江大桥到达滨江。
                  ",,,,,,"
                    医院：浙江省人民医院望江山分院、省立同德医院；商场：合诚之江商务商场、之江富城、金街美地、万美摩登、贝利云栖
                  ",,,,
12,['西溪蝶园二期'],西湖-西溪,120.070758,30.296601,1180,69099,提前预约随时可看,103117782992,15,3室2厅1厨2卫,高楼层 (共14层),170.77㎡,平层,141.54㎡,板塔结合,南 北,钢混结构,精装,两梯两户,有,2021-10-24,商品房,2015-09-10,普通住宅,满五年,共有,"
                                有抵押 693万元 杭州联合银行
                              ",已上传房本照片,211025ET333273,"
                    地铁5号线。 满五年，业主自住 装修保养好
                  ","
                    
西溪蝶园2期，环西溪尊荣住区大作，坐落于西溪板块居住区 ，文一西路与崇义路交界处。前缀西溪国家湿地公园天赐之景，后衔百年名浙江大学文风氤氲，左拥天堂硅谷西湖高科技园区，右抱城西商区成熟生活；更与西溪新天地和紫霞街等开放式休闲。
                  ","
                    
杭州银行、工商银行、民生银行、联合银行、玉鸟菜市场、甘其食、世纪联华、西溪银泰大型综合体、绿城国际写字楼、郡原公园里写字楼、蒋村社区医院近绕小区，于吃、住、行、游、医、健身为一体，地铁5号线蒋村站，龙湖西溪天街。
                  ",,,,,,,,,,,,
13,['钱江西溪和景'],西湖-文三西路,120.113467,30.27055,1450,52922,提前预约随时可看,103116882864,22,5室2厅1厨4卫,中楼层 (共4层),273.99㎡,跃层,暂无数据,板楼,西南,钢混结构,精装,一梯两户,暂无数据,2021-08-28,商品房,2017-09-01,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210829KW996317,"
                    法式建筑 楼层合适 采光充足 配套齐全 诚心出售
                  ","
                    蚂蚁金服，浙商财富，蘑菇街，年轻人喜欢买的一个小区，房龄新!房龄新!
                  ",,"
                    小区旁边联华华商、西溪天堂项目、沃尔玛山姆会员店所在的休闲购物公园、西城广场、物美大卖场、黄龙世贸商圈；景区有：国家西溪湿地公园、西溪谷慢性系统、浙江大学、杭州植物园（灵峰探梅）、灵隐景区、法华寺、老和山游步道
                  ","
                    小区门口出门就是西溪路炮台新桥公交车站（83、102、306、346线路），交通方便。
                  ",商水,商电,,,,,,,,
14,['翠苑三区'],西湖-翠苑,120.12798905681,30.296447573664,159,37500,提前预约随时可看,103117542258,6,1室1厅1厨1卫,低楼层 (共6层),42.4㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-10-08,已购公房,2018-01-24,普通住宅,满两年,非共有,"
                                有抵押 客户偿还
                              ",已上传房本照片,211012CQ341075,"
                    满五唯一，非顶底层，门口有菜市场，出行方便
                  ","
                    
翠苑三区位于文一路和古翠路交汇处东边区块，整个小区楼栋体量大，分布均匀，南出口就有一个大型商场，物美大卖场，农贸市场，生活便利，一步到达，交通方便门口就有公交站点，北500米处有省立同德医院。
                  ","
                    翠苑三区位于文一路和古翠路交汇处东边区块，整个小区楼栋体量大，分布均匀，南出口就有一个大型商场，物美大卖场，农贸市场，生活便利，一步到达，交通方便门口就有公交站点，北500米处有省立同德医院。
                  ",,"
                    小区外部交通：19/K19、43/K43、70/K70、156/K156、K209（夜间线）、K211（夜间线）等等，B2助你快速出行，交通便利
                  ",,,,,,,,,,
15,['新安嘉苑'],西湖-文三西路,120.110952,30.27464,380,46810,提前预约随时可看,103117568983,13,2室1厅1厨1卫,高楼层 (共17层),81.18㎡,平层,63.44㎡,板楼,南,钢混结构,精装,两梯五户,有,2021-10-10,商品房,2014-01-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211010TM109482,"
                    装修清爽，拎包住，看房方便，房东特诚心卖
                  ","
                    新安嘉苑于莲花街与天目山路之间。环境舒适安静，空气清新。距离莲花广场1000米，出门口步行500还有世纪联华、步行1000米西城广场、步行500米莲花街农贸市场等生活居家。小区环境舒适安静，人车分流，
                  ","
                    医院：杭州天目山医院（一级甲等）、 银行:兴业银行ATM、中国工商银行、中国建设银行银行、 ：莲花街蔬菜大卖场。好又多市、文俊果业、华联，西溪湿地 ，蚂蚁金服 西溪天堂 ，西城广场等
                  ",,"
                    税费情况：个税1%，契税%很诚心卖。大家多多推荐，房东很诚心很诚心卖。看房子方便                                                                 
                  ",,,,,,,,,,
16,['新世纪花苑'],西湖-三墩,120.096638,30.330565,350,31637,提前预约随时可看,103117643995,13,3室2厅1厨2卫,中楼层 (共6层),110.63㎡,平层,101.66㎡,板楼,南 北,砖混结构,简装,一梯两户,无,2021-10-14,商品房,2010-05-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211006OS764651,"
                    新世纪，西湖区，中间楼层，三房两卫，户型方正，房东诚心出售。
                  ","
                    新世纪花苑，建筑年代是1998，物业公司为杭州新世纪物业服务有限公司，小区绿化30%，小区共33栋楼
                  ","
                    银行：中国邮政储蓄银行(杭州市三墩营业所)、杭州联合银行24小时自助银行 医院：浙江医院三墩院区、杭州康祥医院
                  ",,"
                    公交：润达花园(90路,37路,143路,153路,303路)、灯彩街古墩路口(90路,303路,503路,1202路,8211路)、水秀苑东(7142路)
                  ",,,,,,,,,,
17,['星洲花园格兰馨庐'],西湖-文一西路,120.103238,30.297753,880,61078,提前预约随时可看,103117680864,13,3室2厅1厨2卫,高楼层 (共11层),144.08㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-10-17,商品房,2008-10-20,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,2021101907089828,"
                    电梯，地铁，上学近，户型方正，3房朝南，边套，楼层好视野好
                  ","
                    小区位于古墩路和星艺街交叉口，地段繁华，大型的骆家庄农贸市场，印象城、等距离小区1500米左右，距离西溪湿地，城西银泰，西溪银泰1公里，绿城医院
                  ",,,"
                    出门即是政新花园站有多条公交线路（89、17、211、278、74、860等）交通便捷，小区门口50米地铁2线文新站。
                  ",,,,,,,,,,
18,['嘉绿名苑'],西湖-嘉绿,120.121025,30.286496,568,48920,下班后可看,103117527191,18,3室1厅1厨2卫,中楼层 (共18层),116.11㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯六户,有,2021-10-07,商品房,2006-11-24,普通住宅,满五年,共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片,200916KX417121,"
                    房子格局很不错，单价也不高，三房结构，电梯房，总价低。
                  ","
                    嘉绿名苑地理位置优越，步行300米左右就到世纪联华华商店，步行800米到达省立同德医院，步行200米就到达嘉绿苑公园，家门口100米就设有嘉绿苑农贸市场。小区集餐饮、娱乐休闲运动于一体。位于文二路西路和文三西路中间益乐路段，繁华热闹。
                  ","
                    小区出门边上300米内有多个公交站台，车辆所到之处贯穿整个杭州，省立同德医院，世纪联华*市华商店，嘉绿农贸市场，都在商圈600米之内的距离 生活方便 距离地铁二号线丰潭站611米古翠站535米 有丰潭公园 三优乐园
                  ",,"
                    公交：K37路、K63路、K73路、81K81路、K189路、K194路、820K820路，地铁2号线丰潭站，古翠站就在旁边，距离600米左右（地图上测量距离）
                  ",,,,,,,,,,
19,['万科西庐一期'],西湖-西溪,120.06259646938,30.298732658076,630,71171,提前预约随时可看,103117645121,11,3室1厅1厨1卫,高楼层 (共15层),88.52㎡,平层,71.94㎡,板塔结合,南,钢混结构,精装,两梯四户,有,2021-10-14,商品房,2019-04-09,普通住宅,满两年,非共有,"
                                有抵押 120万元 建行中山支行 业主自还
                              ",已上传房本照片,211017IV706278,"
                    高楼层，西边套，诚心出售，看房方便
                  ","
                    万科西庐位于杭州西湖区，邻西溪国家湿地公园。项目规划多层花园洋房、小高层和高层公寓。一期总建筑面积约为22万方，规划打造与西溪湿地自然融合的人文住区，主力户型为89方三房、138方三房、175方四房。基于万科对于西溪地理文脉的尊重和深..
                  ","
                    两房朝南，一房朝北，客厅朝西，一个卫生间，业主自己做了很多柜子，两梯四户
                  ",,,,,,"
                    此房产证是19年办理的，目前还没有满5年，交易时有增值税，其他税费正常
                  ",,,,,,
20,['金色蓝庭'],西湖-嘉绿,120.123404,30.294375,1200,64925,下班后可看,103117553355,16,4室1厅1厨2卫,低楼层 (共24层),184.83㎡,平层,143.18㎡,板塔结合,南,框架结构,精装,两梯两户,有,2021-10-09,商品房,2014-12-12,普通住宅,满五年,共有,"
                                有抵押 500万元
                              ",已上传房本照片,211016FA638099,"
                     满五 西边套 精装修 业主诚心出售

                  ","
                    小区为滨江集团开发，滨江物业，房龄：小区2007拿地，2008年开盘，2010年底交房 的次新房，绿化好，小区游泳池夏天开放
                  ","
                    小区位于文一西路与古翠路交叉口。天堂软件园边，配套成熟， 西门出去右拐是公交总站。小区南咖啡馆， 稠州银行和工商银行， 往南到省立同德医院仅500多米
                  ",,"
                    
公交：小区南门口就是文一西路毛家桥路公交站.可坐19路公交经往西湖文化广场和江干景芳，43路可到达火车东站，286路通往未来科技城 地铁二号线古翠路站844米（高德地图导航指示）
                  ",,,,,,,,,,
21,['政苑小区'],西湖-申花,120.110723,30.302087,710,59654,提前预约随时可看,103117567948,22,3室2厅1厨2卫,中楼层 (共6层),119.02㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,无,2021-10-10,商品房,2018-11-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,180901888222,"
                    此房采光视野无遮挡，楼幢位置安静，业主诚心出售
                  ","
                    
小区是省直机关房改房，建成年代是2005年，共79栋房屋，小区整体体量大，人文素质浓厚，小区自带配套有游泳馆，老年食堂等，大型配套有东面城西银泰，北面世纪联华，南面沃尔玛，五洲国际...整体交通，生活配套设施成熟
                  ","
                    
此房自住精装修，可以直接拎包入住的，适合一家人居住，亲戚朋友多也很适合相聚。
                  ","
                    小区东边丰潭路、南至余杭塘路，小区西边古墩路，离地铁5号线三坝站600米。离城西银泰城310米，古墩路印象城1100米，五洲国际1200米，省立同德医院3公里，绿城心血管医院2.3公里，生活便利，出行方便
                  ",,,,,,,,,,,
22,['绿城兰桂花园'],西湖-文一西路,120.107167,30.289165,980,43799,提前预约随时可看,103115244303,53,5室2厅1厨2卫,高楼层 (共6层),223.75㎡,跃层,暂无数据,板塔结合,南,砖混结构,简装,一梯两户,无,2021-05-27,商品房,2007-05-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210613JM381718,"
                    此房满五无增值税，精装修，上下两层。
                  ","
                    兰桂花园是2000年左右建成，物业是绿城的物业，管理严格，小区环境不错
                  ","
                    小区所处的位置位于文二西路和古墩路路口的东北角，出了门口就是文二西路竞舟路口公交站，往北走大约700米就是地铁二号线丰潭路站，出行很是方便。小区300米内有大型综合体西城广场，*市有物美和华联*市，出行门口就是公交站，大约800米就是2号线丰潭路..
                  ",,"
                    距离地铁二号线丰谭路站795米，出了小区门口就是文二西路竞舟路口，有190路 86路 130路 194路 221路等多路公交，出行方便
                  ",,,,,,,,,,
23,['金源公寓(西湖)'],西湖-三墩,120.091568,30.329048,432,29849,提前预约随时可看,103117253873,73,4室2厅1厨2卫,中楼层 (共6层),144.73㎡,跃层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-09-18,商品房,2002-09-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210309AU355791,"
                    金源公寓 西湖区精装大四房 格局方正 采光好视野好 满五年
                  ","
                    建造于1996年左右，配套完善，位于三墩路与通济路交口，离三墩镇政府近。配套成熟，有三墩镇第二农贸市场，世纪联华，小区干净整洁，物业负责
                  ","
                    此房位于灯彩街上，有第二农贸市场，买菜方便，浦发银行。杭州联合银行就旁边，有地铁、银行、医院，配套比较成熟，生活氛围浓厚。
                  ",,"
                    文星桥(公交站)： 153路 ,211路 ,296路 ,349路 ,389路 ,860路 ,900路 ,b支8路等
                  ",,,,,,,,,,
24,['紫金庭园'],西湖-文三西路,120.099028,30.277515,1200,53150,提前预约随时可看,103117381209,16,5室2厅1厨4卫,高楼层 (共4层),225.78㎡,跃层,暂无数据,塔楼,南,砖混结构,精装,一梯两户,无,2021-09-26,商品房,2018-05-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,170422960189,,,,,,,,,,,,,,,
25,['赞成岭上花苑'],西湖-转塘,120.066269,30.151306,280,31296,提前预约随时可看,103116491077,17,2室2厅1厨2卫,高楼层 (共17层),89.47㎡,跃层,70.72㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-08-07,商品房,2013-03-26,普通住宅,满五年,共有,"
                                有抵押 120万元 邮政储蓄银行 业主自还
                              ",已上传房本照片,180602790119,"
                    产证满五年，免增值税，次顶楼，带17方左右阁楼。
                  ","
                    赞成岭上花苑位于之江国家旅游度假区转塘内，北临望江山。小区由排屋和高层组成，小区配套齐全。
                  ","
                    房子为商品房：产证满五年，不唯一，无增值税 ，有契税。，首套1%，二套1%。
                  ",,,,,,,,"
                    该房与800亩中国美院仅举步之遥，历经层层山水涵养与艺文气息的提炼，低调释出山景英伦官邸的尊贵与典雅。小区边有西湖国际高尔夫、度假村等高尚配套云集，社区内更有近方英式园林景观可玩可赏。2021年初，开通地铁6号线音乐学院站，距离100米左右。
                  ",,,,
26,['中旅紫金名门'],西湖-申花,120.091545,30.32321,455,52901,提前预约随时可看,103117146369,16,3室2厅1厨1卫,高楼层 (共33层),86.01㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-09-12,商品房,2017-06-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,201025MM421858,"
                    西湖区，中旅紫金，精装修，可拎包入住，房东诚心出售
                  ","
                    整个小区采用人车分流，车位配比1:0.9，绿化范围为整个小区档次、环境、绿化及空气提供良好的空气质量。建筑密度24.11%，楼间距比:1：1.2，楼间距保证了业主与业主之间充分的私密性，同时也保障了从一楼到顶楼充分的采光和通风。
                  ","
                    小区地处振华路，东面就是浙江广播电视大学，西面是双港路公交站，南面是杭州师范大学，北面是五里塘河综合体（休闲娱乐为一体的）
                  ",,"
                    
小区旁边有一个公交车总站，朝南是留石快速路，可达上塘高架，连接绕城高速，从大门口，往东900米（百度地图）可达三墩地铁站。
                  ",,,,,,,,,,
