,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,税费解析,用水类型,用电类型,燃气价格,户型介绍,适宜人群,装修描述,售房详情,交通出行,别墅类型,权属抵押
10,['碧水豪园'],滨江-彩虹城,120.155081,30.189963,529,36053,提前预约随时可看,103115016978,52,4室2厅1厨2卫,高楼层 (共9层),146.73㎡,平层,122.48㎡,板塔结合,南,钢混结构,简装,一梯两户,有,2021-05-14,商品房,2016-05-06,普通住宅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,210509BF098281,"
                    诚心出售，满五，看房随时可看。
                  ","
                    碧水豪园坐落于美丽的钱塘江大桥南岸，东沿东信大道，40余米宽的河绿化带，与之江旅游度假村俩俩相对。小区总规划用地117亩，总建筑面积11.6万余方，总户数536户。是滨江比较少见的以城市排屋为主体的低密度住宅
                  ","
                    商场：世纪华联、快客、好又多、华润万家*市、联华*市 医院：办公设备电脑医院、华生口腔 、杭州诚铭门诊部 邮局：之江邮政 银行：杭州市银行钱江支行、深圳发展银行杭州滨江支行
                  ","
                    地铁4号线联庄站，滨江钱塘大桥换乘站，横舍圩公交站。可换乘112路; 180路; 194路; 194路西湖南线大循环; 352路; 435路; b支3路，124路; 139路; 315路; 354路等
                  ",,,,,,,,,,,
11,['彩虹城'],滨江-彩虹城,120.162555,30.193717,630,49642,提前预约随时可看,103116499132,10,3室1厅1厨2卫,中楼层 (共29层),126.91㎡,平层,103.13㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-08-07,商品房,2011-03-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,191012937665,"
                    彩虹城标准中间套三房，业主已经买好新房，诚心出售
                  ","
                    地处滨江钱江南岸一桥东侧，小区地理位置优越、交通便利、环境优雅，是质量较高、配套完善的住宅小区。小区内设两座大型会所。小区高绿化，景观轴线沟通南北，有机的融入亲水平台，社区主流健康向上，社区风气良
                  ","
                    生活设施完善：银行、医院、菜市场等就在您的身边。 娱乐设施完善：建设房、游乐场、球场、咖啡厅等，让您工作休闲两不误。 一切都为方便你的日常生活，为你提供便利的服务
                  ","
                    
出行方式多样，交通很便捷 公交：小区旁边目前多个公交站，如彩虹城站（352、113、b支6路等），伟业路滨盛路站（172、b支3路），江南大道伟业路口站（197、315、b支5路）距离地铁四号线联庄站
                  ",,,,,,,,,,,
12,['观邸国际'],滨江-浦沿,120.140734,30.186838,530,33526,有租户需预约,103109066030,55,4室2厅1厨2卫,低楼层 (共32层),158.09㎡,平层,127.45㎡,板楼,南,钢混结构,毛坯,两梯四户,有,2020-05-10,商品房,2009-08-21,普通住宅,满五年,共有,"
                                有抵押 400万元
                              ",已上传房本照片,200314658914,"
                    东边套，户型方正得房率高，采光好
                  ","
                    观邸国际寓所地处地之江湾的大转折处,面对古风醇厚的六和塔和层峦叠嶂的五云山,环境得天独厚，建筑面积约为30万方，分别为高度近百米的板式和点式高层，建筑时尚现代，与园区环境和自然环境和谐相融、相得益彰、互为风景。
                  ","
                    商场：物美大卖场、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿卫生院 银行：中国农业银行、中国建设银行、中国邮储银行 酒店：龙禧福朋喜来登大酒店、江景戴斯大酒店
                  ","
                    公交：钱江湾花园公交总站，107路、112路、116路、180路、402路 地铁：中医药大学站（4号线）
                  ",,,,,,,,,,,
13,['东和云第'],滨江-浦沿,120.16547,30.170962,338,39166,提前预约随时可看,103116851034,53,3室2厅1厨1卫,中楼层 (共32层),86.3㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,有,2021-08-27,商品房,2017-08-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,191015208910,"
                    房子是全新的，房子楼层高，采光好，房东精装修，家具家电全新
                  ","
                    小区总建筑面积约6.5万㎡，由4幢高层建筑组成，66.92米楼间距，拥有无限风景、阳光心情，全面拉阔生活尺度。杭城首例架空层无线网覆盖，多种情景设置，聚合同一个圈层，开启云生活。约1万平大庭院，注入优雅、浪漫东南亚园林风情。


                  ","
                    华润万家，物美大卖场，永辉、嘉悦广场。浦沿菜场600米位置，医院：浦沿卫生院 邮局：浦沿邮政支局 银行：农业银行浦沿支行、工商银行，建设银行


                  ","
                    地铁4号线浦沿站 浦沿路东冠路口公交站：112路，113路，113路大站，222路，225路，230路，269路，326路，352路，822路，商务1号线


                  ",,,,,,,,,,,
14,['锦绣江南'],滨江-长河,120.192937,30.207752,1168,64120,提前预约随时可看,103108963549,57,4室2厅1厨2卫,高楼层 (共31层),182.16㎡,平层,145㎡,板楼,南 北,钢混结构,毛坯,两梯两户,有,2020-05-04,商品房,2009-07-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200504009852,"
                    
锦绣江南，一线江景房！高品质小区环境好，人车分流
                  ","
                     白金海岸农贸市场、星光大道卖场、第六空间大都会；医院：浙医二院滨江医院、武警医院、长河妇保医院，门口就有各种小饭馆、水果*市、药店等，生活所需一应俱有。
                  ",,"
                    
公交：B支3路（去市区），1504（小区线去江陵路），116（去西湖）,368等，边上是即是沿江闻涛路，小区南边滨江区主干道江南大道和钱江四桥复兴大桥，去市区方便
                  ",,,,,,,,,,,
15,['时代滨江悦'],滨江-西兴,120.24113,30.190076,920,66078,提前预约随时可看,103117734978,4,4室2厅1厨2卫,高楼层 (共25层),139.23㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯两户,有,2021-10-21,商品房,2021-10-20,普通住宅,未满两年,共有,"
                                有抵押 170万元
                              ",已上传房本照片,211021IY038371,"
                    1号线和5号线滨康路双地铁口，滨江品质，户型方正。
                  ","
                    本小区为滨江品质，滨江物业，小区绿化lv在30%，容积lv在2.5, 外立面：石材干挂小区一共为9幢高层组成，其中2幢为开发商自持，总层为25层，其中有两梯两户，小区自带的地下会所约2000方，满足业主健身和室内游泳所用，小区也是传统的人车分流，改善户型为.
                  ","
                    此房建筑年代为2021年6月，交付状态为：毛坯交付 交付时间为2021年6月28-30日，户型方正，三房朝南，一房朝北，边套户型。
                  ","
                    小区出门南门就是公交车站，地铁口滨康路地铁站也是1号线和5号线的双地铁站步行距离为150米即可到达，无论您是去往主城区还是萧山新城区都是相当方便的
                  ",,,,,"
                    小区坐拥滨江区西兴街道上双地铁口滨康路站，向西步行100米龙湖天街在建（2024年投入使用），汇金中xin和加州阳光的商ye综合体地铁一站到2站，可以满足日常的生活所需，南边在建设也是萧山区的市政公园，农贸菜场步行在500米范围以内，配套也是相当齐全
                  ",,,,,,
16,['白马湖小区孔雀苑'],滨江-白马湖,120.20866276835,30.172873607514,335,26138,提前预约随时可看,103117398021,25,3室2厅1厨2卫,高楼层 (共18层),128.17㎡,平层,101.39㎡,板楼,南 北,混合结构,精装,两梯两户,有,2021-09-28,回迁房,2019-07-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210927MJ283927,"
                    
此房得房率高，满五年，户型方正，业主诚心出售
                  ","
                    
此房户型方正，得房率高，卧室朝南，明厨明卫通风好，适合一家三口居住
                  ",,"
                    小区门口137路公交站，可至地铁5号线江晖路站，穿过西兴，到达滨江区政府板块，武警医院，1号线江陵路站；北向1公里至彩虹快速路，西可达之江转塘，东可至萧山市区，连接时代大道南可通萧山绕场，北可过江至杭州市区
                  ",,,,,"
                    小区北面200米为白马湖幼儿园，门口生活配套齐全，热闹非凡，南向500米左右为白马湖建国饭店，中国动漫博物馆，以及风景秀丽的白马湖公园，小区；4公里可达滨江天街，浙医二院
                  ",,,,,,
17,['贺田尚城'],滨江-浦沿,120.142546,30.187462,500,36942,提前预约随时可看,103114234857,146,3室2厅1厨2卫,低楼层 (共11层),135.35㎡,平层,117.67㎡,板楼,南,砖混结构,精装,一梯三户,有,2021-04-01,商品房,2009-01-21,普通住宅,满五年,共有,"
                                有抵押 50万元
                              ",已上传房本照片,180811882258,"
                    此房满5年，户型方正，看房方便，房东诚心卖
                  ","
                    贺田尚城，江景之城，风尚之城，知性生活之城。位于钱塘江壮美辽阔的江景南岸，六合路以西，新和路南北两侧，与六和塔、浙大三部隔江相望，占地面积157545平方米，总建筑面积296591平方米，是以五层多层公寓为主的大型复合景观风尚社区。
                  ","
                    
贺田尚城位于新和路，地处杭州高新技术产业园区与高教园区的重要地段，距离小区一公里，钱塘江边，有杭州樱花漫步道;闻涛路，适合年轻人、老年人居住
                  ","
                    交通：钱江湾花园公交总站，107路（钱江湾花园 至 火车东站东）,112路（钱江湾花园 至 横街埠西）,116路（钱江湾花园 至 城站火车站）,180路（钱江湾花园店 至 金色蓝庭公交站）,402路（钱江湾花园 至 鸿宁路公交站)地铁：中医药大学站（4号线浦沿 至 彭埠
                  ",,,,,,"
                    商场：物美大卖场、华润万家、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿社区卫生院 银行：中国农业银行、中国建设银行、中国邮储银行、杭州联合银行 酒店：龙禧福朋喜来登大酒店、江景戴斯大酒店、志成大酒店
                  ",,,,,
18,['南岸晶都花园'],滨江-长河,120.201575,30.185605,498,37464,提前预约随时可看,103115874534,112,3室2厅1厨2卫,中楼层 (共11层),132.93㎡,平层,112.07㎡,板塔结合,南,钢混结构,精装,两梯两户,有,2021-07-01,商品房,2012-08-07,普通住宅,满五年,共有,"
                                有抵押 300万元 客户偿还
                              ",已上传房本照片,210703XB886244,"
                    热卖南北通飞机户型3房，户型方正 采光好，小高层
                  ","
                    绿城旗下物业管理 ，小区2007年左右交付，小区共20幢，由高层和小高层组成，包含单身公寓，小区旁有华为网易上市公司众多，居住人群多为高素质白领，居住环境舒适，适合各个阶段人群业主
                  ","
                    小区旁配套齐全，生活配套齐全，小区有专用农贸菜场，世纪联华，幼儿园都在小区旁边，保利天汇综合体（在建）、绿城傲旋城综合体（在建）
                  ","
                    
5号线地铁聚才路站距离750米（来自于百度地图），滨江时代高架滨康匝道东侧，距离四桥仅2000余米，从滨康匝道沿中河高架可直达下城区。小区南门处公交车站张二村：96路（长二村-杭州解百），138路，271路
                  ",,,,,,,,,,,
19,['银色港湾公寓'],滨江-彩虹城,120.163951,30.192656,600,39990,有租户需预约,103113643277,68,3室2厅1厨2卫,低楼层 (共18层),150.04㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-03-04,商品房,2018-04-23,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,180225314839,"
                    此房不满五，大三房，边套采光好
                  ","
                    
银色港湾，建筑年代是2006，物业公司为杭州海华物业管理有限公司，小区绿化35%，小区共13栋楼
                  ","
                    配套齐全，居住生活惬意。医院：浙江省儿保，浙二医院，武警医院等；银行：招商银行、农业银行、工商银行、建设银行、杭州银行、中国银行等；餐饮娱乐：小绍欣、千尊比萨、迪欧咖啡江滨国际等。生活购物：世纪华联，彩虹城街，物美、华润万家等
                  ","
                    
出行方式多样，交通便捷，门口有好几个公交站，如彩虹城站（325`113`b支6路等），伟业路滨盛路站（172`b支3），江南大道伟业路口站（197`315`b支5等），地鉄有4号线联庄站，更有多个自行车租赁点
                  ",,,,,,,,,,,
20,['钱塘玫瑰湾'],滨江-浦沿,120.14829,30.174939,410,46198,有租户需预约,103116495597,55,3室2厅1厨2卫,高楼层 (共18层),88.75㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯三户,有,2021-08-07,商品房,2018-01-15,普通住宅,满两年,非共有,"
                                有抵押 158万元 中国农业银行
                              ",已上传房本照片,210807LY666326,"
                    此房是2017年交付次新房小区，绿城物业，楼层好可以看江景
                  ","
                    小区配套：世纪联华，物美大型购物方便。傍晚闻涛路健身跑步也不错，亚运会专用塑胶跑道，有菜场，银行，餐厅
                  ","
                    商场：物美大卖场、华润万家、世纪联华 医院：浙医二院滨江分院、省儿保医院滨江院区、武警医院、浦沿卫生院 银行：中国农业银行、中国建设银行、中国邮储银行 酒店：龙禧福朋喜来登大酒店、志成大酒店
                  ","
                    交通状况：地铁六号线西浦路站，通过钱江一桥、复兴大桥[1] (钱江四桥)与主城相连，与主城区关系密切。多路公交车经过该地块，具体有K212、402、404、337、674、675、327、822、115、706。
                  ",,,,,,,,,,,
21,['万科逸天广场'],滨江-浦沿,120.143746,30.180899,600,38418,有租户需预约,103115311046,16,3室1厅1厨2卫,高楼层 (共16层),156.18㎡,平层,119.2㎡,板楼,南 北,钢混结构,精装,两梯三户,有,2021-05-31,商品房,2009-07-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190319196988,"
                    此房满五年 业主置换 诚心出售，开发商统一精装交付
                  ","
                    
万科逸天广场占地面积约147亩，总建筑面积约17万平方米，由八幢建筑组成，这里包括了精装修小户型和写字楼，以及网球场、入口广场等设施。精装修小户型和写字楼的建筑分别位于社区的东西两端
                  ","
                    此房为南北通透户型  南北双阳台 户型方正 客厅南北通透舒适度高
                  ","
                    
公交：钱江湾花园公交站，107路、112路、116路、180路、402路 地铁：中医药大学站（4、6号线换乘站）
                  ",,,,,"
                    小区位于滨文板块，中医药大学那一带近钱塘江。旁边有地铁四号线，物美大卖场，生活配套很齐全。六百米内有六合社区卫生服务站在浦沿街道上，2公里内有杭州中医药大学滨江中医门诊
                  ",,,,,,
22,['欣盛东方郡东区'],滨江-滨江区政府,120.222617,30.203991,650,72327,有租户需预约,103117226695,15,2室1厅1厨1卫,低楼层 (共27层),89.87㎡,平层,68.96㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,2021-09-16,商品房,2011-02-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210916ZY349230,"
                    本房满五年，小区中间间位置，南北通三阳台 诚心出售
                  ","
                    
物业管理:龙湖物业，会所规划:桌球馆;棋牌室;阅览室;餐厅;车位配比: 1:1.56占地面积:146864平方米总建筑面积:418878平方米规划户数:3200户社区规模(住宅)建筑设计单位:海南华磊建筑设计咨询有限公司
                  ","
                    小区距离龙湖天街约1.2公里，距离星光大道1.3公里，距离小区800米以内有建设银行，工商银行，杭州联合银行，小区南面有中赢康康谷餐饮业，百度纯K（上述距离由百度地图提供
                  ","
                    
出小区东门口100米即到地铁一号线滨和站C出口，小区门口195路、300路、B支6路、115路等多条公交线路，可以直达火车站、西湖风景区、钱江新城萧山市区、交通便利
                  ",,,,,,,,,,,
23,['钱塘春晓'],滨江-滨江区政府,120.221929,30.211878,800,57658,提前预约随时可看,103114284589,79,3室2厅1厨2卫,低楼层 (共14层),138.75㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯两户,有,2021-04-04,商品房,2007-03-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210411XN654797,"
                    钱塘春晓少有板楼三房全明户型，户型方正，适合自己装修
                  ","
                    钱塘春晓是05年的小区，浙大求是物业，小区一共有22幢，板楼户型,有2/3，但是在售的板楼户型比较少有
                  ","
                    商场：星光大道、中赢国际、星耀城；银行：中国银行、招商银行、浦发银行、建设银行；医院：武警医院
                  ","
                    地铁：一号线江陵路站；公交:K300,K96等，小区出门就有共享单车
                  ",,,,,,,,,,,
24,['汉峰峰公馆'],滨江-滨江区政府,120.210859,30.214497,288,29215,有租户需预约,103116586863,22,3室1厅1厨2卫,低楼层 (共22层),98.58㎡,暂无数据,71.15㎡,板楼,南,钢混结构,精装,四梯二十四户,有,2021-08-12,商品房,2014-01-22,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180925972329,"
                    滨江区政府，总价低，地段好，配套成熟
                  ","
                    
位于杭州滨江区政府地段，滨盛路与江晖路交叉口西侧，星光大道旁，为香港企业在杭州打造的精装修理念公馆。拥有大型集群、银行、集团企业总部、杭州科技馆等众多优质物业，为滨江区财富资本的聚集地带。
                  ",,"
                    开发商精装交付，装修保持的很新，配置齐全，品牌家具家电，可拎包入住
                  ",,商水,民电,,,,"
                    铁1号线江陵路站，距离浙二医院1000米，距离龙湖滨江天街800米
                  ",,,,
25,['现代印象广场'],滨江-彩虹城,120.177809,30.190452,79,15672,提前预约随时可看,103117517797,8,1室0厅0厨1卫,低楼层 (共29层),50.41㎡,平层,31.26㎡,板楼,南,钢结构,精装,三梯六户,有,2021-10-07,商品房,2011-08-05,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211009PD052519,"
                    
自住精装修，中间楼层，诚心出售
                  ","
                    
小区楼下有一圈底商 可以满足基本的生活需求，有宝龙城市广场，门口有地铁6号线。一公里以内遍布各个银行，国家电网。等等
                  ",,"
                    简装修。满足拎包住。简约风格，里面有很多家具，衣柜桌子都有，家具齐全
                  ",,未知,未知,3.1元/m3,,,"
                    
信诚路江南大道口(107路 B支6)、 江南大道诚业路口(315路 113路 139路 B支5 352路 593路)地铁六号线
                  ",,,,
26,['朗庭公馆'],滨江-白马湖,120.204781,30.178574,158,14398,提前预约随时可看,103108044951,122,3室1厅1厨1卫,中楼层 (共12层),109.74㎡,平层,78.98㎡,板楼,南,钢混结构,简装,三梯四户,有,2020-03-16,商品房,2011-11-09,商住两用,满五年,共有,"
                                无抵押
                              ",已上传房本照片,191007434427,"
                      东边套 已做三房 户型方正 采光视野好 房东诚心出售
                  ","
                    该房屋户型为一房朝南，厅朝南带阳台，一房朝北，户型方正，采光视野无遮挡；
                  ",,"
                    该房屋目前为房东自住装修，保养良好，您可以直接出租或者自住皆可；
                  ",,商水,民电,3.1元/m3,"
                    该区域是滨江区域内生活配套设施比较完善成熟的版块之一，500米生活半径内*市、菜场、医院、幼儿园、银行一应俱全，交通便利，链接主城区的繁华，精彩生活无限外延；
                  ",,"
                    北邻滨文路，驾车经彩虹快速路可通达复兴大桥和之江大桥；小区门口1503路可直达西兴地铁站，小区门北向东200米左右，滨文路光裕路口公交站可乘114路、326路通达滨江大部分，经江虹路跨铁立交，4公里到达龙湖天街和浙二医院，5公里直达钱塘江边。
                  ",,,,
