,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,周边配套,小区介绍,户型介绍,适宜人群,装修描述,用水类型,用电类型,售房详情,交通出行,税费解析,燃气价格,权属抵押,别墅类型
10,['蓝钻天成'],拱墅-申花,120.125741,30.314457,150,22319,提前预约随时可看,103117672433,17,2室1厅1厨1卫,中楼层 (共22层),67.21㎡,平层,67.21㎡,板楼,西南,钢混结构,精装,一梯十六户,有,2021-10-16,商品房,2017-11-29,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,181116409734,,,,,,,,商水,民电,,,,,,
11,['新华坊社区'],拱墅-丝绸城,120.184026,30.272189,198,45082,提前预约随时可看,103117719841,4,2室1厅1厨1卫,中楼层 (共4层),43.92㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,无,2021-10-20,商品房,2019-09-06,普通住宅,满两年,非共有,"
                                有抵押 150万元 业主自还
                              ",已上传房本照片,211020LP930247,"
                    该房满五唯一，框架结构，现浇楼板，采光足，环北市场。
                  ","
                    进门是客厅，厨房朝北，两房朝南，清爽装修，采光好，户型方正。
                  ","
                    距离新华路农贸市场200米，凤起路新华路口公交站距离50米，5路，21路，32路，35路，68路等，距离地铁二号线建国北路站C出口不到200米。
                  ",,"
                    中国移动（凤起路营业厅）距小区240米左右（数据来源百度地图），联华庆春店距小区900米左右（数据来源百度地图），外婆家（杭报店）距小区620米左右（数据来源百度地图），工商银行（之江支行）距小区330米左右（数据来源百度地图）
                  ",,,,,,,,,,
12,['三宝新村'],拱墅-信义坊,120.145888,30.304026,150,45788,只周末可看,103117749922,2,2室1厅1厨1卫,中楼层 (共6层),32.76㎡,平层,30.26㎡,板楼,南,钢混结构,精装,一梯三户,无,2021-10-22,商品房,2015-09-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211023UW213543,,,,,,,,,,,,,,,
13,['融信学院府'],拱墅-申花,120.112816,30.322438,638,71767,提前预约随时可看,103117704305,15,3室2厅1厨2卫,低楼层 (共14层),88.9㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2021-10-19,商品房,2017-12-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210424GN387044,"
                    装修保养好，中间楼层，采光好，朝南视野开阔。


                  ","
                    小区地处申花板块蓝孔雀社区，亚运公园东面，17年交付次新房，融信开发商物业，提供24小安保，玻璃幕墙外立面，总共16幢房子，总高14-18层。


                  ","
                    融信学院府西邻学院路北，东接莫干山路，北接留石高架，交通四方八达。 同时汽车北站有22条公交线途径，到各个方向都很方便，还有正在建设的地铁10号线，交通十分便利。



                  ","
                    业主一手买进，目前自住，随时看房，已经购置好其他房产，需要出售此房，诚心出售。


                  ",,,,,,"
                    亚运公园，申花公园，复地活力广场，百润生鲜，尚优chao市，城西银泰、西田城、万达广场、新华医院（三级甲等）、浙江医院分院。


                  ",,,,,
14,['大关东五苑'],拱墅-大关,120.161788,30.309983,258,37947,提前预约随时可看,103117711091,1,3室1厅1厨1卫,中楼层 (共6层),67.99㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-10-19,商品房,2011-08-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211019DG886238,"
                    满五唯一，中间楼层，户型好，房东诚心出售的。看房方便 
                  ","
                    小区配套完善，公交站，银行，医院，公园，农贸市场，钱江市场小区成熟度高居住环境优良
                  ",,"
                    大关是杭州的交通枢纽 交通方便 到杭州四个方向的都有直达的 连接杭州最主要的一条道路 德胜高架，公交车都有
                  ",,,,,,,,,,,
15,['中冶锦绣华府'],拱墅-三塘,120.178172,30.330791,770,64739,提前预约随时可看,103117820322,2,3室2厅1厨2卫,低楼层 (共26层),118.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-27,商品房,2021-04-25,普通住宅,未满两年,非共有,"
                                有抵押 110万元 客户偿还
                              ",已上传房本照片,211027ND569760,"
                    央企中冶开发，锦绣华府精工现房，户型方正
                  ","
                    央企中冶开发，锦绣华府作为精工现房，属藏品级楼盘，为武林留下经典作品。 高层外立面均采用香槟金铝板；洋房则是天然石材+铝板， 配备1000方会所、室内星空恒温泳池，近90%得房率，高车位配比1:1.8；无公租、不限售，板块品质标
                  ","
                    位于武林新城正中位置，东新路景观大道工程于亚运会前完工，为华府锦上添花；交通便捷，地铁3/4/5线环伺，距离小区600米左右，水上巴士站紧贴小区门口，业主可以乘舟体验盛唐遗韵。
                  ","
                    此房朝向为南向.高层总层高26层，全明户型，视野开阔 采光无遮挡
                  ","
                    配套齐全，左依新天地，背靠中大银泰城，小区自带综合体并配套酒店；医疗设施齐全，500米之内配有两家三甲医院。北望亚运电竞公园，南依城北体育公园
                  ",,,,,,,,,,
16,['阮家居'],拱墅-申花,120.11729,30.305293,430,46257,提前预约随时可看,103117876362,1,2室2厅1厨1卫,低楼层 (共17层),92.96㎡,平层,74.54㎡,板塔结合,南,混合结构,毛坯,两梯四户,有,2021-10-31,商品房,2020-07-24,普通住宅,未满两年,非共有,"
                                有抵押 190万元 客户偿还
                              ",已上传房本照片,200317925686,,,,,,,,,,,,,,,
17,['永康苑'],拱墅-建国北路,120.18835,30.27852,205,37017,提前预约随时可看,103117618727,7,2室1厅1厨1卫,中楼层 (共7层),55.38㎡,平层,暂无数据,板楼,东 南 北,砖混结构,精装,一梯三户,无,2021-10-13,商品房,2019-04-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210330WM012216,"
                    此房还不满五年，此房格局不错，朝南采光充足，生活便利
                  ","
                    永康苑社区位于莫衙营以北，京杭运河以南，东接沪杭铁路，西接建国北路。占地约0.5平方公里，社区楼幢56幢，单元156个，户数2549户，人口约7000人。
                  ","
                    公交站莫衙营站-、体育场路口站-、艮山门站-、体育场路口站-、公交总公司站-、宝善桥站-站8路 22路 29路 68路 84路 187路 199路 208路 221路。 地铁有2号线建国北路站和5号线在建的宝善桥站。
                  ","
                    有凤起路农贸市场 中江农贸市场 出了小区外就是银行（交通银行 华夏银行 建设银行 联合银行 工商银行 等）
                  ",,,,,,,,,,,
18,['三塘北村'],拱墅-三塘,120.172341,30.313102,175,36474,提前预约随时可看,103117466108,3,1室1厅1厨1卫,中楼层 (共7层),47.98㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,2021-10-03,已购公房,2007-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211003BU641788,"
                    满五唯一 ，楼层好采光好，房两房朝南，户型方正，中间楼层
                  ","
                    两房朝南，户型方正，中间楼层，房东自住装修可拎包入住，看房方便提前联系
                  ","
                    房子小区500米即是三塘南村公交站，公交48，88等线路可以直达城战火车站，另外也可直达西湖文化广场，武林门等繁华地段，交通出行方便。
                  ",,"
                    房子所在位置距离城北体育公园50米，距离三甲爱德医院200米，旁边农贸市场100米，前300米又工商银行，300米有农业银行，世纪联华，距离乐购、沃尔玛等大型购物300米。离众安电影院、肯德基也只要500米
                  ",,,,,,,,,,
19,['蚕花园永和坊'],拱墅-拱宸桥,120.15265794974,30.333742525896,182,28143,提前预约随时可看,103117657272,11,2室1厅1厨1卫,低楼层 (共19层),64.67㎡,平层,43.37㎡,塔楼,南,钢混结构,精装,两梯八户,有,2021-10-15,商品房,2011-05-10,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片,211016OK612730,,,,,,,,,,,,,,,
20,['吉庆院'],拱墅-拱宸桥,120.151799,30.323811,169,31821,有租户需预约,103117628763,38,2室1厅1厨1卫,高楼层 (共6层),53.11㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,无,2021-10-13,已购公房,2004-12-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210808BW802077,"
                    5号线地铁 商场 东边套 满五 无个税 简装 诚心卖
                  ","
                    
吉庆院位于上塘路衢州街交叉口，上塘路舟山路口站牌旁边。配套齐全、生活方便 总幢数为多层23幢，总户数336户。1-4幢1886年，5-22幢89年，23幢目前已建好。小区保洁尽责，环境整洁。
                  ","
                    
5号线地铁 水上巴士拱宸桥站、温州路拱宸桥站23路、温州路上塘路口23路;61路;70路;95路;183路、拱宸桥东站(brt)342路;403路、运河广场站61路;70路;95路;183路、拱宸桥吉庆院95路

房主自荐(业主对房源的描述)
                  ","
                    
此房得房率高，高楼层，使用面积多，利用率高，户型好，东边套，采光通风都不错
                  ","
                    尊享拱宸桥生活圈1km内生活配套：运河广场、运河上街、24小时便利店、世纪联华、市二人民医院、农贸市场、各大银行...配套完善，交通便利
                  ",,,,,,,,,,
21,['娑婆新村'],拱墅-信义坊,120.148982,30.305736,208,40865,提前预约随时可看,103117618349,5,2室1厅1厨1卫,低楼层 (共7层),50.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,无,2021-10-13,商品房,2004-03-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210519XX356335,"
                    满五不唯一 个税 两房朝南 乐堤港 远洋国际 运河边上


                  ","
                    娑婆新村，此房已经满五年，小区房龄是1995房龄，两房户型朝南，房子在1楼，采光没有遮挡，方便老人居住，小区在运河边上，傍晚可以到运河便散散步！


                  ","
                    交通:公交：151/K151路、K516路、K76路、251路(夜间线);综合体：世纪联华小河店;医院：拱墅区红十字医院;邮局：中国邮政观间桥邮政支局;银行：杭州银行大关路支行、中国工商银行观音桥支行;大学：仁和仓社区老年大学;：杨家门、贾家弄..


                  ",,"
                    乐堤港购物广场位于小区东北面，过一个大关桥就到了。菜场：西南面300米的步行距离，是杨家门菜市场； 医院：红会医院 浙江消防总队医院


                  ",,,,,,,,,,
22,['胜月院小区'],拱墅-拱宸桥,120.151821,30.322245,335,37918,提前预约随时可看,103117582760,10,2室1厅1厨1卫,中楼层 (共6层),88.35㎡,平层,79.92㎡,板楼,南 北 东,混合结构,简装,一梯两户,无,2021-10-10,已购公房,2008-10-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,180622375357,"
                    满五，无增值税，户型方正，两房朝南，采光好
                  ","
                    地处运河广场边向东500米处，衢州街与上塘路交叉口的西北角 共有16栋房子 一幢高层 15幢多层 年代是1988年的2004年2批； 闹中取静 面积50 到70-80-105不等 得房率比较高比较适合刚需人群.1-2幢2000年；3-4-9，11-15幢1985年，，10幢，7幢，16幢2006年
                  ","
                    公交线路：33/K33、K47、K63、70/K70(区间)、K198、K276、347/K347、K403、K591、K606(停驶)、833、K604(停驶）、61/K61、K191、342、K209(夜间线)、K220（区间）(夜间线)、K220(夜间线)、K251(区间)(夜间线)、K251(夜间线)、70/K70、77路、K69(区间)、
                  ","
                    世纪联华chao市，市二医院，运河历史博物馆，百安居，乐提港，中国银行，农业银行，工商银行，交通银行，浦发银行，百瑞酒店
                  ",,,,,,,,,,,
23,['环城东路298-311号'],拱墅-建国北路,120.19304436276,30.277373862083,268,34974,提前预约随时可看,103117610422,25,3室1厅1厨1卫,中楼层 (共7层),76.63㎡,平层,暂无数据,板楼,东 西,砖混结构,精装,一梯三户,无,2021-10-12,商品房,2019-02-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,181103658014,"
                    
此房精装修，总高七层中间楼层，房龄新，看房随时
                  ","
                    
300米农贸市场、下400米红会医院，左600米地铁5号线，右100米河边景观公园，老城区很成熟百家银行多又多，商、业配套嘎嘎好...供您吃喝供您玩，生活配套齐全。
                  ",,"
                    
房屋装修清爽，可以拎包入住，房间是中间楼层，看房提前预约，诚意售房
                  ",,,"
                    
2、5号线双地铁，B-建国北路宝善桥公交站：5、29、68、76、84。111、208、288路 C-建国路口公交站：5、21、35、76、199、201、607A、991 D-陈衙营：5、 B支7 、B支7区间、 11、 28 、 29、 76、 111、 126、 199、221、 228 E-市红会医院公交车站：111
                  ",,,,,,,,
24,['现代名苑'],拱墅-和平,120.180163,30.295801,730,51485,提前预约随时可看,103117605992,107,3室2厅1厨2卫,高楼层 (共28层),141.79㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-12,商品房,2006-05-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211013DS353445,"
                    户型好，三房朝南，前方无遮挡，采光充足，小区环境好
                  ","
                    
小区是野风房地产开发的，物业是拥有国家一级资质物业的野风物业，管理以亲和为主，管理安全，业主们都很信任野风物业，小区人车分流，绿化面积大，高达40%，小区自带小型公园，有假山，有人工湖，有小喷泉，有凉亭等景观。
                  ",,"
                    房龄简介：房龄是2005年的，在这块是比较新的。 户型简介：三个房间朝南，采光和视野都很棒，卫生间一明一暗，明卫是把小窗户开到房间里，朝北的客厅比较正气且视野也很好，居住舒适度也高。
                  ","
                    
交通便利，距离一号线打铁关站600米，公交站在和平广场站，主干道有潮王路、绍兴路、东新路、德胜路等，高架有德胜高架、上塘高架等高架。
                  ",,,,,,,,,,
25,['青春坊'],拱墅-长庆,120.181314,30.264406,388,46087,提前预约随时可看,103117515616,5,2室2厅1厨1卫,低楼层 (共7层),84.19㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2021-10-06,已购公房,1999-02-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211008BZ902936,"
                    青蓝 ，精装修，一梯两户，98年房龄，西边套。
                  ","
                    房子户型是三室一厅，两房朝南，客厅在中间有窗户，一梯两户，采光充足。
                  ","
                    公交站点：公交环北市场站、公交建国路口站、公交新华路口站、公交新华路站 公交线路：5/K5、8/K8、21/K21、24/K24、32/K32、35/K35、68/K68、K199、K616、K30、K76 、24/K24路大站车、35/K35大站车、K76大站车、K201(夜间线)、151/K151
                  ",,"
                    此房所在位置繁华，配套好，有世纪联华（杭州总部），有餐饮店和服装店。浙一医院距小区1000米左右，可谓配套好，生活便利，中河中路2号线地铁口500米左右，公交站有联桥，大东门，浙一医院，凤起路新华路等公交站。
                  ",,,,,,,,,,
26,['左岸花园'],拱墅-拱宸桥,120.14758,30.334595,560,36249,提前预约随时可看,103117657359,22,4室2厅1厨2卫,高楼层 (共11层),154.49㎡,平层,131.08㎡,板楼,南,钢混结构,精装,一梯四户,有,2021-10-15,商品房,2016-10-25,普通住宅,满五年,共有,"
                                有抵押 180万元
                              ",已上传房本照片,211017AT700698,"
                    三房朝南，东边套，户型方正，楼层好，位置好，正对泳池。
                  ","
                    
左岸是05年商品房小区，是拱宸桥早期的商品房小区，小区内有多层，高层，小高层格局，户型从两房到6房，更种户型各种结构，绿化多，适宜居住。
                  ","
                    
小区东面是上塘高架，151公交总站就在这，有276.198.K151.70.198.33.23.B7.591路；南面是湖州街，公交有347.95.69.251.220.34.261.833.403.47路，西边有运河，通益路，北边有石祥路。上高架路口有3个（登云路上塘路交叉口）（上塘路大关路）
                  ","
                    此小区自带游泳池，两家幼儿园，西面是丽水路，过丽水路是京杭大运河。配套齐全，运河上街，运河广场，比高电影院，万达广场，衣食住行方便。距离杭州市第二医院只有800米左右。
                  ",,,,,,,,,,,
27,['云龙公寓'],拱墅-潮鸣,120.191514,30.264835,460,41788,提前预约随时可看,103104989560,106,3室1厅1厨1卫,中楼层 (共28层),110.08㎡,错层,暂无数据,板塔结合,南,钢混结构,简装,三梯六户,有,2019-06-10,商品房,2004-03-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,190602119013,"
                    云龙公寓 自住精装修的户型 业主诚心出售。
                  ","
                    此房是南北朝向的三居室，客厅朝西、两个房间朝南的户型结构。阳台是拐角阳台 
                  ",,,"
                    公交站点：公交环北市场站、公交建国路口站、公交新华路口站、公交杭中站、公交新华路站 公交线路：5/K5、8/K8、21/K21、24/K24、32/K32、35/K35、68/K68、K199、K616、K30、K76 、24/K24路大站车、35/K35大站车、K76大站车、K201(夜间线)、151/K151


                  ",,,,,,"
                    
此房所在位置繁华，配套好，有世纪联华大型*市（杭州总部），有大型*市，有餐饮店和服装店。浙一医院距小区1000米左右，可谓配套好，生活便利。
                  ",,,,
