,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,税费解析,适宜人群,别墅类型,用水类型,用电类型,装修描述,燃气价格,售房详情,交通出行,权属抵押
10,['万科杭宸二期'],余杭-勾庄,120.120137,30.355707,535,49043,提前预约随时可看,103117540970,6,3室2厅1厨2卫,高楼层 (共18层),109.09㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,2021-10-08,商品房,2019-04-03,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,200315754221,"
                    城北万象城旁，万科精装，房子保养好，户型方正，得房率高
                  ","
                    适合各个年龄段的人居住，小区环境好，配套设施齐全，出行方便，并且小区规划建设潮流，小区内有空中树屋、浪漫樱花、 神秘园 、阳光草场、 邻里书吧等。
                  ",,"
                    地铁：4、10号线；高架：上塘高架口；公交：488路：好运路冯家浜路口站,东吴路通运路口站，通运路杭行路口站，191路：谢家塘站，姚家浜站
                  ",,,"
                    综合商场：万象城（在建中），万达广场，西田城，万科杭行荟，万融城（未开业），商圈配套齐全； 银行：邮政，杭州，中国，招商，工商银行 医院：树兰医院（在建中），杭州第二人民医院，浙江医院三墩院区
                  ",,,,,,,,
11,['滨江万家名城一期'],余杭-万达广场,120.125854,30.349502,540,45322,提前预约随时可看,103117668428,9,3室2厅1厨2卫,中楼层 (共25层),119.15㎡,平层,93.02㎡,板楼,南,钢混结构,精装,两梯四户,有,2021-10-16,商品房,2017-07-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211016OT655918,"
                    滨江万家名城   东边套  沿河景观，通透格局，楼层好，视野宽..
                  ","
                    
小区安全系统不错，保安24小时巡逻站岗。绿化约30%以上，配套有室外和室内两个游泳池，更有儿童游乐设施。休息厅椅，柏油跑道适合健身跑步，更有健身房，活动室。使业主生活更加丰富多彩。

                  ","
                    
小区地理位置不错，配套齐全。小区西约700米处有一座万科top综合体，有肯德基，盒马鲜生，罗森等一大批吃喝的店，基本满足您的日常生活需求。北城天地，世纪联华，欧尚，万达广场，西田城购物 ：运河天地，运河文化广场 ，医院：市二
                  ","
                    
冯家浜站（58路、1203路）冯家浜路祥运路口（1204路）运河广告产业园（76路，257H路、47路、1203路、58路）姚家浜（191路、65路）祥园路（91路） 地铁：地铁10号线祥园路站（六月试运行） 高架：上塘高架，留石高架
                  ",,,,,,,,,,,
12,['铭雅苑西区'],余杭-三墩,120.089887,30.343836,480,21866,提前预约随时可看,103117375982,8,6室2厅1厨2卫,高楼层 (共5层),219.52㎡,跃层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-09-26,商品房,2019-03-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210114XQ697221,"
                    双地铁口 小区中间位置 5跃6 边套户型
                  ","
                    
铭雅苑为2004年的房子，土地使用权产权70年，都是多层楼梯房，框架结构，占地面积2856平方米，开发商是杭州城建开发有限公司，当期户数2092户，物业费1.2元/平米月。
                  ","
                    社区有10多年的配套积累，生活所需成熟；出门沿古墩路往南300米左右就是大型便利店世纪联华，中式快餐顺旺基100米，购物餐饮等等都很方便。银行有工商银行、余杭农村银行、杭州联合银行、中信银行、中国建设银行等
                  ","
                    铭雅苑公交站：142路;389路;b支1路;b支8路。东区门口就是金家渡地铁站。
                  ",,,,,,,,,,,
13,['绿城桃源小镇'],余杭-闲林,119.97450502354,30.244509952288,1380,44522,提前预约随时可看,103116941169,9,5室2厅1厨5卫,低楼层 (共1层),309.96㎡,,暂无数据,,南,钢混结构,毛坯,,,2021-09-01,商品房,2018-03-12,别墅,满两年,共有,"
                                有抵押 192万元
                              ",已上传房本照片,190519503465,"
                    绿城法式联排，地上三层地下室两层，独立花园，满五年 有钥匙
                  ","
                    整个桃源小镇占地5800亩，8个排屋别墅区，4个高层区。 整个小镇主打居住品质及舒适度。 小镇对内自带商 业街，美容美甲、果蔬 chao市、世界联华、电影院、各风味餐厅、城市耕读馆、泳池……为绿城中国重dian打造小镇文化之一，位列全国前十
                  ","
                    除小区配套外，闲林农贸市场、余杭二院、黄龙大酒店、老余杭万达广场、江南时代购物广场、地铁16号线（老余杭站）都在小区边。另外， 6公里距离直达未来科技城，阿里巴巴、海创园、梦想小镇、人工智能小镇、浙一医院（余杭分院）都在一碗汤的距离范围内。
                  ","
                    镇对外有业主免费循环巴士，小巴士不间断循环，沿经天目山西路，可换乘B4，356等公交车，闲林镇。大巴士6：00~20：10，途经五站：留下北、汽车西站、古荡、庆丰村西、武林门广场
                  ",,,,联排,,,,,,,
14,['绿城桃源小镇'],余杭-闲林,119.97450502354,30.244509952288,1200,42466,提前预约随时可看,103116883908,3,5室2厅1厨4卫,低楼层 (共3层),282.58㎡,,暂无数据,,南 北,钢混结构,毛坯,,,2021-08-28,商品房,2018-03-16,别墅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,210904CH933446,"
                    此房格局好，双首层，户型方正，南北花园，实用面积达500方
                  ","
                    绿城桃源小镇建筑类型以排屋、别墅为主，包含花园洋房、高层等多种住宅种类，适合各种需求的客户。其中，排屋风格多样，有北美风格、地中海风格、法式风格等，成为桃源小镇内一道亮丽的风景线。小区管理是绿城物业，品质居住
                  ","
                    此房是法式排屋，地上南面3层、北面4层，可利用面积达500方，空间大。餐厅与客厅的错层设计，让居住更加有品质。南北花园，南面花园大概70方，可以根据自己的喜好进行修整。三楼的罕见层高，让房屋更加大、气，且北面带有露台，视野好。
                  ",,"
                    小区出行较方便，内部自带小区巴士班车配套，可以免费乘坐出行；小区北面是天目山西路，文二西路，文一西路，东西大道，百度可查，门口有公交站;B4 346 356 506等均可直达市区；临、近有16号线的地铁站------禹航路站
                  ",,,叠拼,,,,,,,
15,['亲亲家园二期'],余杭-三墩,120.094522,30.343284,410,28280,提前预约随时可看,103113989448,99,4室2厅1厨2卫,中楼层 (共11层),144.98㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,有,2021-03-20,商品房,2007-04-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210321RT653590,"
                    小区绿化很好，环境优美，此房沿河，视野采光好，4房西边套户型
                  ","
                    本房是之前出租的简装，可根据自己喜好装修，电梯4房，老少皆宜！
                  ",,,"
                    房子为商品房。
契税：依据客户，首套1.5%，二套2%。
房子满五年，名下只有1套！
                  ",,"
                    房子客厅朝西，3房朝南，1房朝北，户型方正，西边套，采光视野好，北边沿河景观好！
                  ",,,,,,,,
16,['和昌府'],余杭-良渚,120.063092,30.37114,315,36278,有租户需预约,103117711535,5,3室1厅1厨2卫,低楼层 (共18层),86.83㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯两户,有,2021-10-19,商品房,2019-05-19,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,210827FS760926,"
                    南向视野开阔，无遮挡，光线好 ，双阳台，2梯2户，居住舒适
                  ","
                    
小区交付将近2年左右，环境很好，30%的绿化到位，适宜居住。小区西面小孩游戏区、小区东面老人锻炼器材区、中间年轻人及闺蜜喝茶休闲区。人车分离
                  ","
                    
小区边上500米就是永旺梦乐城大型综合商场，休闲、娱乐、餐饮、购物步行500米即可，生活配套十分方便
                  ","
                     南边600米地铁2号线杜甫村站，公交:下史村B支8389路) 良渚文化村(389路B支8区间B支8372路491A路单向行驶) 玉鸟流苏(491A路单向行驶B支8478路) ，东面莫干山路和南面古墩路直入市区。
                  ",,,,,,,,,,,
17,['竹海水韵'],余杭-闲林,119.986498,30.244051,280,32638,提前预约随时可看,103117485244,6,2室2厅1厨1卫,高楼层 (共11层),85.79㎡,平层,暂无数据,板楼,西,钢混结构,精装,两梯三户,有,2021-10-04,商品房,2017-06-13,普通住宅,满两年,共有,"
                                有抵押 70万元
                              ",已上传房本照片,211004BL701095,"
                    户型方正，格局好，精装修，诚心出售，看房方便！
                  ","
                    竹海水韵由金城开发和物业，可以看到西溪湿地，西接天目山路延伸段，是江南春城居住组团之一。小区绿化好，环境优美，小区内有高层，多层，花园洋房和联排，满足各种需求的客户
                  ","
                    
此房配套较完善，小区内配套：干洗店，家政，药店，早教、才艺培训等。小区前有公共自行车点，环保出行。医院：闲林医院，西溪医院。商场：西溪印象城，延辉，世纪华联。影城：中影国际影城、西天CC影院。加油站：小区1千米左右有加油站。
                  ","
                    途径公交车有:356路（余杭-古荡） 506路（余杭-武林门） B4路（中泰公交站-火车东站），绿汀路直达科技城
                  ",,,,,,,,,,,
18,['西溪八方城'],余杭-未来科技城,120.05146753589,30.296202997892,122,27969,提前预约随时可看,103117616733,4,2室1厅1厨2卫,中楼层 (共12层),43.62㎡,跃层,暂无数据,板楼,北,钢混结构,精装,五梯三十八户,有,2021-10-13,商品房,2017-06-19,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211013AK382776,"
                    地铁口，层高是4.79米，精装修，民用电，提前约即可
                  ","
                    此小区是绿城管理，小区环境安静，停车有序，2房2卫的户型，户型布局合理，动静分明，楼上和楼下各一个卫生间。此房是朝北的，采光好， 每天沐浴在早晨的太阳，唤醒人间值得的你
                  ",,,"
                    小区地处西湖区和余杭区交界处，地铁五号线五常站，生活便利，环境优雅，比较适合未来科技城上班生活人士。
                  ",,"
                    地铁5号线五常站200米，步行500米配有西溪海港城，两公里内有西溪银泰 亲橙里，赛银国际，欧美金融城广场
                  ",,商水,民电,,,,,
19,['御景城'],余杭-未来科技城,119.948638,30.28101,280,25278,提前预约随时可看,103117471364,17,3室2厅1厨1卫,高楼层 (共11层),110.77㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯三户,有,2021-10-03,商品房,2009-02-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200617969814,"
                    东边套，全明户型，宝塔山景观房，视线开阔，阳光充足。
                  ","
                    此小区是2009年建造的，电梯房，一梯两户，东边套，全明户型，东南面视线很开阔。
                  ",,,"
                    此房是商品房，满5年且唯一的，买方只需缴纳一个契税，税费很省的。
                  ","
                    小区配套有宝塔山公园，舒景园，周末可以带家人去散散步，活动活动劲骨，北面是苕溪河，风景独好
                  ",,,,,,,,,
20,['铭雅苑东区'],余杭-三墩,120.093746,30.34506,298,32189,提前预约随时可看,103117639921,6,3室1厅1厨1卫,中楼层 (共6层),92.58㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,无,2021-10-14,商品房,2007-06-04,普通住宅,满五年,共有,"
                                有抵押 18万元
                              ",已上传房本照片,200724JI432335,"
                    此房满五年，不沿马路，位置安静
                  ","
                    铭雅苑为2004年的房子，土地使用权产权70年，都是多层楼梯房，框架结构，占地面积2856平方米，开发商是杭州城建开发有限公司，当期户数2092户，物业费0.90元平米·月。
                  ","
                    
此房两房朝南，一房朝北，南北通风，中间楼层，采光好，房东自住装修
                  ","
                    地铁二号线金家渡站D出口，公交389站点是铭雅苑站，b2站点是铭雅苑站，可直达市民之家，b支8路站点也是铭雅苑站，直达三墩镇，出行很方便。
                  ","
                    
社区有10多年的配套积累，生活所需成熟；出门沿古墩路往南300米左右就是大型世纪联华，中式快餐顺旺基就在后面100米，购物餐饮等等都很方便。银行有工商银行、余杭农村银行、杭州联合银行、中信银行、中国建设银行等。
                  ",,,,,,,,,,
21,['竹海水韵春风里'],余杭-闲林,119.990255,30.245024,288,33096,提前预约随时可看,103117657457,4,3室1厅1厨1卫,高楼层 (共18层),87.02㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-10-15,商品房,2018-08-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,180516371548,"
                    
春风里蜜糖三阳台好房，年代新，装修好！
                  ","
                    竹海水韵由金城开发和物业，可以看到西溪湿地，西接天目山路延伸段，是江南春城居住组团之一。小区绿化好，环境优美，小区内有高层，多层，花园洋房和联排
                  ","
                    
竹海水韵由金城开发和物业，可以看到西溪湿地，西接天目山路延伸段，是江南春城居住组团之一。小区绿化好，环境优美，小区内有高层，多层，花园洋房和联排
                  ","
                    
途径公交车有:356路（余杭-古荡） 506路（余杭-武林门） B4路（中泰公交站-火车东站）；途径公交车有:265路（黄龙 -闲林公交站） 336路（西溪医院西-闲林公交站）交通出行便利
                  ",,,,,,,,,,,
22,['西溪八方城'],余杭-未来科技城,120.05146753589,30.296202997892,165,27192,提前预约随时可看,103117540896,2,2室1厅1厨2卫,高楼层 (共12层),60.68㎡,跃层,暂无数据,板楼,西,钢混结构,精装,四梯三十八户,有,2021-10-08,商品房,2019-08-20,商住两用,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,180718587247,"
                    房东诚心出售 独立厨房 独立卫生间 开发商精装修 拎包入住
                  ","
                    
此房为4.79米LOFT结构，动静分离一楼：层高2.3米不压抑，独立厨房+卫生间（带窗户）+客厅餐厅，布局合理！二楼：主卧+卫生间（带窗户）
                  ",,,"
                    公寓税费：契税3% 印花税0.05%+0.05%，个税差额的20%或总价1%，综合税差额的5.6% 土地增值税1%
                  ","
                    配套：步行500米配有西溪海港城，两公里内有西溪银泰 亲橙里，赛银国际，欧美金融城广场
                  ",,,商水,商电,,,,,
23,['玉都枫景'],余杭-良渚,120.056195,30.375778,265,30015,提前预约随时可看,103117546474,5,3室2厅1厨1卫,高楼层 (共11层),88.29㎡,平层,72.15㎡,板楼,北 南,钢混结构,精装,一梯两户,有,2021-10-08,商品房,2016-07-26,普通住宅,满五年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,200702741043,"
                    
玉都枫景 一梯两户 中间楼层 ，南北双阳台 自住精装修
                  ","
                    
玉都枫景位于良渚镇东西大道与良平路交界处，总建筑面积约9.9万方，由8幢纯小高层建筑组成。户型是其中一大亮点，88方主力户型做到一梯两户、南北通透、户户露台，低密度、架空层“泛绿化”景观、7大组团、人车分流等营造一个精致、和谐、舒适的生活氛围
                  ","
                    
直线距离2公里以内：菜场（农贸市场）、医院（三甲医院）、商场（例：永旺梦乐城、苏宁、小商品市场等）、银行（农行、建行、交通等营业点。 商场：良渚农贸市场、华联、良渚小商品市场医院：余杭区良渚医院邮局：良渚邮政银行：建行、农行、信用社
                  ","
                    
多重道路交通体系日益趋向完善。地铁：2号线良渚站（距离700m 来自百度地图）；公交：K372路（ 和睦新村~良渚文化村）、491A社区循环巴士、K389路（良渚文化村~三墩）、478路（ 余杭东门头~良渚文化村）、389M（七贤郡~都市水乡），武林门北至德清专线
                  ",,,,,,,,,,,
24,['万科缦云坊'],余杭-良渚,120.012259,30.358141,345,29397,提前预约随时可看,103117508354,7,3室2厅1厨2卫,中楼层 (共6层),117.36㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,2021-10-06,商品房,2019-05-06,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210110UT302938,,,,,,,,,,,,,,,
25,['良渚文化村竹径茶语'],余杭-良渚,120.026059,30.376827,545,34485,提前预约随时可看,103117683125,14,4室2厅1厨3卫,中楼层 (共4层),158.04㎡,平层,133.29㎡,板楼,南,钢混结构,精装,一梯两户,无,2021-10-17,商品房,2014-12-26,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211017PW738891,"
                    文化村竹苑  满五年   西边套  带大露台
                  ","
                    竹径茶语位于良渚文化村北部区域，三面环山抱一水，地块中间有溪流自西向东流过，与西面山体结合紧密。是由4－5层的坡地花园洋房、坡地排屋、独栋洋房以及坡地叠排四种物业类型组成的低密度、高品质居住区
                  ","
                    商场：世纪联华 医院：良渚镇良港社区卫生站 其他：茶语公园、良渚文化博物馆 小区内部配套：公望会良渚会所、幼儿园、良渚食街、知味观•味轩、良渚博物院、美丽洲公园、良渚君澜度假酒店、美丽洲堂教堂、玉鸟菜场
                  ","
                    从杭州市区方向至良渚文化村：自驾古墩路从南向北方向，古墩路直达。K372K389(文化村站）等公交提供多种出行选择。更有社区循环巴士K491A，小镇出租车、小镇自行车等社区交通体系
                  ",,,,,,,,,,,
