,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,用水类型,用电类型,燃气价格,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,交通出行,税费解析,装修描述,适宜人群,别墅类型,售房详情,权属抵押
10,['金帝金色钱塘'],萧山-萧山新城区,120.24224858748,30.194157071243,850,37508,下班后可看,103113656196,62,5室4厅1厨4卫,高楼层 (共11层),226.62㎡,跃层,191.49㎡,板塔结合,南,混合结构,精装,两梯两户,有,,,,2021-03-04,商品房,2007-04-16,普通住宅,满五年,共有,"
                                有抵押 505万元
                              ",已上传房本照片,210304HH653125,"
                    顶跃三层 大户型 带阁楼面积大 小区环境好 双地铁口 配套齐全
                  ","
                    帝金色钱塘有6幢排屋，4幢小高层，12幢高层，开发商是金帝，物业是万科，地理位置优越，交通方便，娱乐设施齐全，占地约158亩，总建面约22万方
                  ","
                    步行800米左右即可到达配套成熟的西兴街道，距离物美大卖场2公里，加州阳光生活广场2公里，恒隆广场2.8公里，新城区市中 心4公里，为萧山滨江交界的枢纽地段！双地铁一号线五号线，距离800米左右（数据来自百度地图）
                  ",,,,,,,,,
11,['华瑞湘湖美地'],萧山-湘湖,120.24880014222,30.178868193881,740,26261,提前预约随时可看,103117055930,9,6室2厅2厨4卫,中楼层 (共6层),281.79㎡,平层,251.73㎡,板楼,南,钢混结构,毛坯,一梯两户,有,,,,2021-09-06,商品房,2010-04-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210913JU981210,"
                    
此房满五，小区多层带电梯洋房，得房率高， 小区环境优美
                  ","
                    瑞湘湖美地社区占地约100亩，总建筑面积近15万㎡，规划有19幢水景多层花园洋房、三幢小高层、4幢高层 此房所在小区建筑年代为2013年 小区主有总多层 排屋 小高层与高层组合 人车分流 每天都有保安巡逻
                  ","
                    此房六室。满屋一家三代同堂，总高6层，带电梯老人小孩皆适合。客厅大，宽敞亮堂
                  ","
                    
门口有769公交站，2站可到湘湖地铁站，小区西门到地铁站1.2公里（数据来自百度地图），小区北门到5号线地铁口1.3公里（数据来自百度地图）
                  ",,,,,"
                    萧山区第七人民医院，小区内配套羽毛球场、戏水池、乒乓球场，健身房。金地艺境综合商场，三江购物，农贸市场等
                  ",,,
12,['华瑞晴庐'],萧山-萧山新城区,120.288192,30.202636,530,38934,提前预约随时可看,103113274633,48,4室2厅1厨2卫,低楼层 (共32层),136.13㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯两户,有,,,,2021-02-01,商品房,2017-05-03,普通住宅,满两年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,201230HE285673,,,,,,,,,,,,
13,['顺发和美家'],萧山-钱江世纪城,120.27051795703,30.234821408621,670,61076,提前预约随时可看,103117735203,14,4室2厅1厨2卫,中楼层 (共36层),109.7㎡,平层,暂无数据,塔楼,南 西 北,钢混结构,毛坯,两梯两户,有,,,,2021-10-21,商品房,2012-07-30,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210704CC949246,"
                    此房满五唯一 税费较少 楼层好 视野好 看房方便 诚心出售
                  ","
                    小区底商有商品店，餐厅等，有银行，医院，幼儿园等等，购物便捷。距离约2000米有奥体展览馆，约1000米有奥体印象城，往北约3000米有钱江世纪城公园
                  ",,"
                    此房满5年唯一，契税：首套：90平米以下1%，90平米以上1.5%；二套：90平米以下1%，90平米以上2%
                  ",,,"
                    环保自行车出行，地铁站飞虹路地铁站距离小区约450米（来源百度地图），公交路线：419B路，402路
                  ",,,,,
14,['天汇园'],萧山-萧山新城区,120.26115014375,30.18872674803,80,15007,提前预约随时可看,103117789826,21,1室1厅1厨1卫,中楼层 (共26层),53.31㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯十六户,有,,,,2021-10-25,商品房,2017-07-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210828OM847775,,,,,,,,,,,,
15,['崇化住宅区'],萧山-萧山市区,120.265813,30.163956,190,27120,提前预约随时可看,103117734358,9,3室1厅1厨1卫,低楼层 (共6层),70.06㎡,平层,暂无数据,板楼,南,钢混结构,精装,一梯一户,无,,,,2021-10-21,商品房,2001-05-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210706BT174620 ,"
                    满五唯一，精装修，楼层好，采光无遮挡，交通便利
                  ","
                    小区得房率是高的，人名路地铁口百度地图约1.2公里，小区总162栋，体量也大，小区自带幼儿园，崇化菜市场，配套是成熟的
                  ","
                    小区自带崇化菜场，萧山城西幼儿园，近人民路地铁站，地铁直达旺角和万象汇等大型商场，市心南路有大润发和南门农贸市场，周 边配套齐全，生活十分便利。
                  ","
                    
交通便利，离人民路地铁口直线距离800m，旁边有崇化公交站，崇化路北口站，崇化菜市场站等多路公交车站口。
                  ",,,,,,,,
16,['绿都四季华庭'],萧山-南部卧城,120.289249,30.141773,280,31578,提前预约随时可看,103117730745,3,3室2厅1厨2卫,低楼层 (共18层),88.67㎡,平层,88.67㎡,塔楼,西南 西,钢混结构,简装,两梯四户,有,,,,2021-10-20,商品房,2017-09-20,普通住宅,满两年,非共有,"
                                有抵押 90万元
                              ",已上传房本照片,200820UY472487,"
                    此房为简单装修房，可直接拎包入住，省去客户装修的时间和..
                  ","
                    绿都四季华庭位于萧山南城中间，西靠育才南路，南临规划路，西面及北面被南浜河及前姚河，是继湖滨花园之后的又一半岛滨水花园住区。绿都四季华庭总占地约7万平方米，总建筑面积近25万平方米，由14幢小高层及高层组成
                  ","
                    此房为2014年的次新小区，房龄新，户型好，边套户型.采光通风好.
                  ",,"
                    公园有贺知章公园，南江公园，南江农贸市场，农业银行，中国银行，中国建设银行，世纪联华市等等，生活便利
                  ",,,,,,,
17,['绿都百瑞广场'],萧山-萧山新城区,120.27328256077,30.209499840427,380,19722,提前预约随时可看,103112919060,32,4室2厅1厨3卫,中楼层 (共18层),192.68㎡,平层,暂无数据,塔楼,南 北,混合结构,精装,三梯两户,有,商水,民电,3.1元/m3,2021-01-05,商品房,2005-11-22,商住两用,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210109LI117744,"
                    
绿都百瑞广场，距离建设三路地铁口20米。
                  ","
                    绿都控股集团开发有限公司 物业：绿都物业 绿都品质值得信赖                  。
                  ","
                    业主诚心置换，，此价格可商量，，签约随时，欢迎致电联系·。。
                  ","
                    广场出门就是2号线建设三路地铁口和地铁建设三路站（公交站），公交线路：123/K123路、368路、405路


                  ",,,,,,,"
                    370米到雷迪森铂丽大酒店（五星），300米到麦当劳，470米到新时代大酒店


                  ",
18,['通和戈雅公寓'],萧山-闻堰,120.163902,30.148214,350,26422,提前预约随时可看,103104400045,62,3室2厅1厨2卫,低楼层 (共6层),132.47㎡,平层,117.01㎡,塔楼,南 北,钢混结构,精装,一梯两户,无,,,,2019-04-12,商品房,2009-08-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190412394279,"
                    此房满五年精装修中间楼层看房方便
                  ","
                    戈雅公寓，一个位于杭州钱塘江南岸、规划建筑面积达40万方的西班牙大花园;、江景高层公寓、地中海坡地别墅排屋三大类产品。首期低层西班牙水景洋房2006年3月上市以来，创新的西班牙风格建筑、纯粹的西班牙风格
                  ","
                    大型物美*市，湘湖购物，小区内一条街，餐馆，水果店，理发店，药店，蜂巢快递收发。
                  ","
                    小区出行方便，出小区门口就是黄山新小区公交站，有通往市区的352路，326路，222路
                  ",,,,,,,,
19,['永泰名苑'],萧山-萧山开发区,120.306706,30.207232,268,28327,提前预约随时可看,103117515647,6,3室2厅1厨1卫,中楼层 (共18层),94.61㎡,平层,74.04㎡,塔楼,南,钢混结构,精装,四梯四户,有,,,,2021-10-06,商品房,2014-12-15,普通住宅,满五年,共有,"
                                有抵押 40万元 银行 业主自还
                              ",已上传房本照片,211006NG762689,"
                    地铁口，自住装修，生活配套完善。
                  ","
                    小区有4幢高层组成，主力户型49方、60方、84-95方等，车位相对充足，内设花园，篮球场，儿童滑梯等
                  ","
                    小区东面约200米是吉麦隆购物广场，旁边是海鲜大排档，粮油市场等，小商品市场，电影院，干货批发价，生活用品批发价.有生活公园，医院、幼儿园、麦吉隆大商场，公交站等等
                  ","
                    7号线地铁在建，公交车小区北面新华村公交站可乘坐317/340/368路，东面新农都可乘坐332/340/750路
                  ",,,,,,,,
20,['滨江江南之星'],萧山-萧山新城区,120.249695,30.194969,535,60796,提前预约随时可看,103117568025,13,3室2厅1厨2卫,高楼层 (共34层),88㎡,平层,80㎡,板楼,东 南 北,钢混结构,精装,两梯四户,有,,,,2021-10-10,商品房,2019-05-24,普通住宅,满两年,非共有,"
                                有抵押 160万元 中国银行
                              ",已上传房本照片,211011PG209428,"
                    滨江品质 精装边套 楼层好 近地铁 看房方便
                  ","
                    
滨江集团在萧山打造的标杆小区，高品质小区；滨江物业，管理完善，物业费3.8元每平。2、小区是2019年1月份交付，小区新，绿化好，三泳池（地上两个地下一个）。3、小区共20幢，由电梯高层和电梯洋房组成


                  ","
                    小区自带世纪联华 小区位于博奥路与金惠路交叉口西北侧，处于萧山新城区。2、340路，1590路。3、1.5公里内有物美、萧山宝龙广场（永辉）、星座标、加州阳光城市生活广场、德圣农贸市场等
                  ","
                    轨道交通：5号线博奥路站约700米，青年路站 公交路线：建设一路风情大道路口：368路 风情大道老塘路口：368路 建设一路风情大道口：515路 地铁滨康路站：177路。
                  ",,,,,,,,
21,['滨江东方海岸(萧山)'],萧山-闻堰,120.18433,30.126369,325,36472,提前预约随时可看,103117547956,4,3室2厅1厨2卫,低楼层 (共28层),89.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,,,,2021-10-08,商品房,2018-04-15,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,210912HH902533,"
                    此房不满五年，中间楼层，一线江景，房东诚心出售。
                  ","
                    滨江品牌房企开发，滨江物业 人居的优质选择，一线江景，视野开阔，小区亭台楼阁，游泳池
                  ","
                    次新房，楼层好，三房两卫，三开间朝南，全明户型，自住装修，保养好
                  ","
                    
交通便利，小区门口就是公交站：178、326、176、352、344等，去主城区和萧山市区都很方便
                  ","
                    
业主因为工作地点较远，所以诚心改善换房，婚房装修，保养很好，小区人车分流，环境好
                  ",,,,,,"
                    小区位于闻堰板块，生活配套齐，1000米内有大型购物物美，农贸市场，交通也是很便利，小区西门口就是时代大道和闻兴路的公交车站小区边有中行，农行，建行，工行，浦发，储蓄，500-1000米左右。
                  ",
22,['万科海上明月'],萧山-萧山新城区,120.258979,30.199343,440,49405,提前预约随时可看,103117574513,5,3室1厅1厨2卫,中楼层 (共27层),89.06㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,,,,2021-10-10,商品房,2019-07-31,普通住宅,满两年,共有,"
                                有抵押 170万元
                              ",已上传房本照片,211010AC140192,"
                    万科品牌、精装交付、诚心出售 次新房
                  ","
                    海上明月，作为中国万科城市复合地产新品——“创新城市三代人居”的标杆筑品，坐落于杭州钱塘江南岸正在崛起中的江南都汇，以G20峰会和2022亚运会为两大契机，承启新一轮杭州都市发展的时代潮头。
                  ","
                    中间套，户型周正，楼层高，采光这一点不用担心，阳光可以照到客厅里。
                  ",,"
                    万科开发商精装修的，房东另加装过的，直接可以拎包入住。交付以后房东没怎么住过。。
                  ",,,"
                    小区距离2号线建设一路站1.5公里，7号线明星路站1500米（数据来源百度地图）公交路线：515路：明怡花苑站，K656路：湖滨花园站，K713路：湖滨花园站，国泰花园站，231路：湖滨花园站，K725路：明怡花苑站，建设一路金二路口站，710路：建设一路金二路口站
                  ",,,,
23,['信融御金台'],萧山-奥体,120.248074,30.243816,1880,45257,提前预约随时可看,103112819426,123,6室1厅1厨5卫,中楼层 (共45层),415.41㎡,平层,319.97㎡,板楼,南,框架结构,精装,四梯一户,有,商水,商电,3.2元/m3,2020-12-27,商品房,2019-05-10,商住两用,满两年,非共有,"
                                有抵押 300万元 300
                              ",已上传房本照片,210106YZ874043,"
                     
大面积公馆，民水电，通燃气，户型方正，没有任何..
                  ","
                     
钱江世纪城，奥体板块，钱塘江边，奥体大面积公馆，民水电，通燃气，楼层也比较高，视野采光良好
                  ","
                     
浙江城市高楼，杭州之门，江对岸即万象汇等大型综合体，都是办公写字楼群
                  ","
                     
二号线钱江世纪城地铁站200m，6号线博览城地铁站400m，江边博奥隧道在建，以及庆春隧道，一步即可达钱江新城，主城区
                  ",,,,,,,,
24,['中誉现代城'],萧山-萧山新城区,120.29484,30.190111,410,30064,提前预约随时可看,103116918797,52,5室3厅1厨3卫,高楼层 (共6层),136.38㎡,复式,125.7㎡,板楼,南,砖混结构,精装,一梯两户,有,,,,2021-08-30,商品房,2016-09-07,普通住宅,满五年,共有,"
                                有抵押 220万元
                              ",已上传房本照片,210901SE408114,"
                    诚心出售，装修很不错带阁楼，有中空调，带地暖，新风系统。
                  ","
                    小区房龄2005-2007年，总共30幢，1-25幢是东区，多层6层，小区大门以外的是西区，，26-28是大面积的，29-30幢小户型，有地上车位先到先得，地下车位360元/月，卓 越物业，小区自带嘉明幼儿园，环境优雅，适宜居住，大门口有生活配套，菜店，饭店
                  ","
                    萧山医院，萧山中医院 ,商场：大润发商场，万象汇，银隆百货，汇德隆家电，恒隆广场
                  ","
                    小区南面有裴家埭（公交站）可乘328路、406路、414路、708路、715路，东北面有长山一号桥（公交站）可乘坐360路、709路，小区里有自行车租赁点，位于通惠中路，往北通机场快速及九堡大桥，地铁5号线地铁口400米已通车，金城路彩虹快速路直通滨江
                  ",,,,,,,,
25,['湘湖人家'],萧山-闻堰,120.188073,30.132153,480,21609,提前预约随时可看,103113725273,80,5室2厅1厨3卫,高楼层 (共5层),222.13㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,,,,2021-03-07,商品房,2013-04-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210308QV149569,"
                    
满五年不唯一住宅 精装修 房东诚心出售
                  ","
                    
小区依山傍水，环境优美，清新典雅的格局，该小区为独立的排屋区域，邻近索菲特世外桃源，真正意义上的出则繁华，入则宁静！
                  ","
                    
房子满五年，不唯一住房，无增值税，有个税，契税：首套1.5%，二套2%。
                  ","
                    
K352路、K706路、K178路、K222路 闻堰公交站716/716B； 开车：沿时代大道往南是杭州绕城高速、往北是经冠山隧道是滨江、萧山、杭州
                  ",,,"
                    小区配套齐全，购物： 物美购物广场、华润万家、好又多、湘湖购物广场 医院：湘湖医院、闻堰镇卫生院、浦沿卫生院 银行：农业银行、建设银行、中国银行、工商银行、农村信用合作社 。
                  ",,,,,
26,['清和园'],萧山-临浦,120.25674409184,30.054297303553,240,17126,提前预约随时可看,103117113849,7,7室2厅1厨3卫,高楼层 (共6层),140.14㎡,跃层,128.68㎡,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,,,,2021-09-10,商品房,2008-02-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210831NP333395,"
                    临浦位置比较好 带阁楼的  精装修 大户型 单价低

                  ","
                    此房为南北向四室三厅三卫，建筑面积为140.14平米，户型方正 南北通 多层得房高 精装修


                  ",,"
                    交通便利，到杭州萧山公交车都有，属于主干道路，很方便，到哪里都方便。


                  ","
                    小区边上配套齐全，生活配套齐全，商场药店餐饮理发店都有，出小区门走路能买到任何想买到的东西。


                  ",,,,,,,
27,['佳境天城境合苑'],萧山-钱江世纪城,120.274513,30.224426,850,33973,提前预约随时可看,103105610493,110,5室2厅1厨4卫,高楼层 (共15层),250.2㎡,复式,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,,,,2019-08-05,商品房,2008-06-26,普通住宅,满五年,非共有,"
                                有抵押 806万元 中国农业银行 业主自还
                              ",已上传房本照片,190807997919,"
                    钱江世纪城，2号线振宁路地铁口，3层，有露台，自住精装，
                  ","
                    建筑面积： 390000平方米 停车位： 1499 楼栋总数： 暂无数据 总户数： 暂无数据 物业公司： 浙江纳德物业管理有限公司 物业费： 1.2元/平方米.月
                  ","
                    
顺发.佳境天城位于钱江新城对岸，机场高速路以南，市心北路以西，萧山经济开发区，区位优越，交通便捷，占据未来杭州城市——钱江世纪城地理优势，具备无限发展潜能。
                  ","
                    轨道交通： 2号线振宁路站 公交路线： 地铁2号线、通过钱江三桥与杭州主城区紧密相连，杭城一条过江隧道与庆春东路连接
                  ",,,,,,,,
