,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,套内面积,房屋朝向,建筑结构,装修情况,别墅类型,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,适宜人群,周边配套,户型结构,建筑类型,梯户比例,配备电梯,小区介绍,税费解析,交通出行,售房详情,装修描述,权属抵押,用水类型,用电类型,房源核验统一编码,查询房管备案记录,燃气价格
10,['中天珺府'],临安-临安,119.82335381156,30.269320385486,210,23334,提前预约随时可看,103117807147,4,3室2厅1厨2卫,中楼层 (共6层),90㎡,暂无数据,南,钢混结构,毛坯,,2021-10-26,商品房,2020-04-27,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
小区境优美，采用人车分流。配套齐全
                  ",,"
                    
适宜一家人，小孩，老人，上班族，小区内设有市健身房，菜场，可以满足日常生活所需，小区很安静，环境优美，生活惬意
                  ","
                    
72万方狮山公园等你来，散步。46家科研院所的白领精英 愿意成为您的朋友。 育才小 学就在您的旁边。坐轻轨就可以到达杭州。繁华和自在，您都可以轻松地获得
                  ",平层,板塔结合,一梯四户,暂无数据,"
                    中天珺府的环境的。确实，鸟语花香，流水潺潺，真乃人世间的一大诗意居所。谨以此房，献给懂得生活的人
                  ",,,,,,,,,,
11,['绿城·文西诚园'],临安-临安,119.830766,30.275634,205,22683,提前预约随时可看,103117829222,0,3室2厅1厨2卫,高楼层 (共18层),90.38㎡,71.9㎡,南,框架结构,毛坯,,2021-10-27,商品房,2021-07-09,普通住宅,未满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,"
                    
绿城品质小区，绿化高。 中高楼层，视野开阔。 高新产业园旁
                  ","
                    三室两厅两卫，三开间朝南。 2021年交付，次新房。 18层的高品质小区。
                  ",,"
                    
1、小区自带星汇天地有：万豪酒店、写字楼、世纪联华、酒吧、KTV、影视城、中国银行、菜场、、理发、餐厅等等。 2、小区有游泳池、健身房、瑜咖室、室外多功能球场、儿童娱乐场所等。 3、青山中医院 4、宝龙9万方综合体 5、16号线轻轨（青山湖科技城站）
                  ",平层,板楼,一梯四户,暂无数据,,,,,,"
                    
贷款抵押：有抵押，业主自还，权属明确，交易方便；卖房原因：置换改善。
                  ",,,,,
12,['棋盘弄24号'],临安-临安,119.72547568961,30.241842278277,125,15159,提前预约随时可看,103109880595,43,3室2厅1厨1卫,中楼层 (共6层),82.46㎡,暂无数据,南,钢混结构,精装,,2020-06-23,商品房,2008-07-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    房东诚心出售，低总价全新精装修
                  ",,"
                    小区男女老少都适合居住，车流量小，没有噪音，小孩老人出行玩比较安全
                  ","
                    该房正前方200米就是人民医院，左边200米就是镇医院和校区，距离500米有一条很热闹的购物街
                  ",平层,塔楼,一梯两户,无,,,"
                    出行方便，南边衣锦街，北边苕溪大坝，二边都有公交站。。。。。
                  ",,,,,,,,
13,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,220,24538,提前预约随时可看,103115763412,1,3室2厅1厨2卫,低楼层 (共33层),89.66㎡,暂无数据,南,钢混结构,毛坯,,2021-06-25,商品房,2019-06-03,普通住宅,满两年,共有,"
                                有抵押 58万元
                              ",已上传房本照片,"
                    视野宽阔，采光充足，配套设施齐全，小区自带幼儿园
                  ","
                    房屋建成2019年，客厅朝南，主卧朝南，客厅带阳台，适合 一家四口居住
                  ",,"
                    小区自带星汇天地，大型商场，万豪酒店，写字楼，世纪联华，酒吧，KTV，影视城，中国银行，餐厅等等
                  ",平层,板楼,两梯四户,有,"
                    此小区的开发商为:杭州越秀房地产开发有限公司，越秀自己的物业，小区安保很负责，小区环境优美
                  ",,,,,,,,,,
14,['南苑小区'],临安-临安,119.725459,30.234353,139,15778,提前预约随时可看,103117250874,25,3室2厅1厨1卫,中楼层 (共6层),88.1㎡,暂无数据,南,砖混结构,精装,,2021-09-18,商品房,2015-09-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    南苑小区 精装修 三室拎包入住 城芯位置
                  ",,"
                    本小区环境优美，绿化覆盖高，设施配套齐全，适宜各阶段人群居住
                  ",,平层,板楼,一梯两户,无,"
                    小区物业管理规范，出行方便，城芯位置。 出门配套齐全，生活方便。孩子上学仅需步行就能到达
                  ",,"
                    小区门口有公交车站，还有共享单车！距离地铁口打车起步价左右，方便出行！
                  ",,,,,,,,
15,['绿城玉兰花园'],临安-临安,119.741573,30.244269,250,18205,提前预约随时可看,103104358290,61,3室2厅1厨2卫,低楼层 (共24层),137.33㎡,暂无数据,南,钢混结构,毛坯,,2019-04-07,商品房,2015-05-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房已满五年，楼层好，视野开阔，室内空气流通，日照时间长。
                  ","
                    三室两厅两卫一厨一阳台，户型方正， 前后楼间距宽，楼层好视野开阔。
                  ",,,平层,板塔结合,两梯三户,有,,"
                    此房为商品房 此套房子已满五年，税费自理，买房首套房只需要交个1.5%契税。
                  ","
                    小区属于滨湖板块，青山湖旁，地铁口，距离临安汽车东站846米，交通便利。
                  ",,,,,,,,
16,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,228,25433,提前预约随时可看,103116599669,60,3室2厅1厨2卫,中楼层 (共33层),89.65㎡,暂无数据,南,钢混结构,精装,,2021-08-13,商品房,2019-06-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    越秀西区靠西边的新房源 满2年无大税 装修好的房子 
                  ","
                    本身就是次新房，刚交付不久，外立面更现代，三开间朝南的户型，而且高楼层采光更是没问题，大三居居住起来完全够用
                  ",,"
                    
20万方的滨河公园距离我们小区只有400米，1公里还有70万方的狮山公园，出门遛弯儿还是带孩子玩都是很方便的；距离小区682米有个现已营业的星汇天地和168米高的五星万豪酒店，8万方的宝龙广场在2020年初10月份也已开业，星巴克、必胜客、谭鸭血均已入驻


                  ",平层,板楼,两梯四户,有,"
                    
我们小区是越秀的开发商，广州国企，跨国公司15强，物业公司更是百强企业第17名，所以在小区安保这一块把控很严格，小区多以小高层和洋房为主，居住密度会更舒适，而且每一栋楼间距大，绿化覆盖率达到了35%，小区内更是配备了露天泳池，可供游玩
                  ",,,,,,,,,,
17,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,220,24661,提前预约随时可看,103115837046,20,3室2厅1厨2卫,低楼层 (共33层),89.21㎡,暂无数据,南,钢混结构,简装,,2021-06-29,商品房,2019-04-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
此房诚心出售，离青山湖科技城地铁站比较近，很方便
                  ",,,"
                    小区自带星汇天地有：万豪酒店、写字楼、世纪联华、酒吧、KTV、影视城、中国银行、菜场、、理发、餐厅等等。 2、小区有游泳池、健身房、瑜咖室、室外多功能球场、儿童活动。 3、青山中医院 4、宝龙9万方综合体 5、16号线轻轨 6，青山中医院
                  ",平层,板楼,两梯四户,有,"
                    此小区的开发商为：越秀房地产开发有限公司，越秀自己的物业，物业服务人员很热情，安保人员也很负责，小区安保很好，小区环境优美，秀星汇城属于较宜居的小区。
                  ",,,,,,,,,,
18,['临水路78-86号'],临安-临安,119.72862552284,30.240912277486,90.8,15656,提前预约随时可看,103117330402,2,2室1厅1厨1卫,中楼层 (共6层),58㎡,暂无数据,南,框架结构,简装,,2021-09-24,商品房,2017-08-14,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    满五年，haohao楼层，繁华地段，小孩读书不用接，老人就医..
                  ",,,"
                    靠西15米是锦城医院，50米是人民医院，靠东800米是中医院，大型商场在靠东南方向50米左右位置，大型菜场50米左右位置
                  ",平层,板楼,一梯两户,暂无数据,"
                    新改造的小区，可以停车，先到先得，                不用物业费，                      
                  ",,"
                    楼下就有公交车站，离16号地铁站800米左右，离东站900米左右
                  ",,,,,,,,
19,['南苑二区(临安)'],临安-临安,119.72601352939,30.231862737944,146,15113,提前预约随时可看,103117643510,0,3室2厅1厨1卫,低楼层 (共6层),96.61㎡,暂无数据,南 北,框架结构,简装,,2021-10-14,商品房,2003-10-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    出行方便、阳光好、公摊少停车方便，闹中取静！
                  ",,"
                    刚需，老人，各个年龄段的家庭，出行方便、银行，综合体，医院、肯德基、
                  ",,平层,板楼,一梯两户,无,"
                    小区有13幢房子，2019年政府改造工程，小区环境焕然一新！！！
                  ",,"
                    交通出行： 地铁口，小区口有公交站，环保自行车，598,北面是临安主干道钱王大街打出租车方便！
                  ",,,,,,,,
20,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,198,23790,提前预约随时可看,103117610912,3,2室2厅1厨1卫,中楼层 (共32层),83.23㎡,暂无数据,南,钢混结构,简装,,2021-10-12,商品房,2014-12-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    轻轨房，宝龙近，视线开阔，小区环境优雅，交通生活都方便
                  ","
                    户型方正，采光好，视眼开阔，主卧，次卧，客厅都朝南，使用面积大
                  ",,"
                    小区自带星汇天地综合体，有电影院，KTV、邻家大药房、中国银行等，小区门口有公交站可直接到蒋村，出行方便，距离地铁口青山湖科技城站，大概600米左右（来自百度地图），宝龙城市广场 大概400米左右（来自百度地图
                  ",平层,板楼,两梯四户,有,"
                    小区绿化好，小区自带浙大幼儿园，物业安保配套完善，物业管理水平好，每一幢楼都有一个管家，小区有多个儿童游乐场所，还有篮球场，小区内人车分流。
                  ",,,,,,,,,,
21,['颐和山庄'],临安-临安,119.79189543805,30.272815582676,625,38269,提前预约随时可看,103117860421,7,3室1厅1厨3卫,低楼层 (共2层),163.32㎡,暂无数据,南,未知结构,精装,暂无数据,2021-10-30,商品房,2020-11-25,别墅,未满两年,共有,"
                                有抵押 100万元
                              ",已上传房本照片,"
                    
小区是人车分流的，环境优美，楼栋间距大 采光好 适合居住
                  ","
                    这房子北入户南花园，一层有个南房间带卫生间，客餐厅都朝南，厨房朝北。二楼两个南房间，都有卫生间，主卧还有个衣帽间。加一个露台。
                  ",,,,,,,"
                    
青城房地产和颐和房地产合作开发。 2.小区环境：绿化不错，自带休闲健身设施。 3.物业：杭州南都物业。 4.安保设施：小区岗亭均有安保员24小时站岗。
                  ",,,,"
                    此房为开发商统一精装交付，有中，央空调有地暖。花园过1：1以上，花园没装。车位一前一后可以停两台。
                  ",,,,,,
22,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,235,17404,提前预约随时可看,103117850519,3,2室2厅1厨2卫,低楼层 (共31层),135.03㎡,暂无数据,南,钢混结构,毛坯,,2021-10-29,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,,,平层,板楼,两梯三户,有,,,,,,,,,,,
23,['保亿麓语湖苑'],临安-青山湖科技城,119.823553,30.250559,215,23449,提前预约随时可看,103117850737,0,2室1厅1厨2卫,高楼层 (共27层),91.69㎡,暂无数据,南,钢混结构,毛坯,,2021-10-29,商品房,2021-09-03,普通住宅,未满两年,共有,"
                                有抵押 92万元
                              ",已上传房本照片,"
                    保亿品质楼盘，好楼层，视野宽阔
                  ",,,"
                    
小区距离青山湖科技城和宝龙广场地铁站1.8km，距离青山中医院800M,距离三甲医院1.5KM
                  ",平层,板楼,两梯四户,有,,"
                    房屋产权：此房为商品房 税费信息：此房是刚交付的，不满二年共有7.8%的税费，分别是5.3%的营业税，契税1.5%，个税1%
                  ",,"
                    
售房原因：业主因为置换，所以特诚心委托出售，房东诚意十足，欢迎来看房
                  ",,,,,,,
24,['百合苑'],临安-临安,119.72023408565,30.248299564732,145,13488,提前预约随时可看,103117593360,2,2室2厅1厨1卫,中楼层 (共6层),107.51㎡,暂无数据,南,钢混结构,简装,,2021-10-11,商品房,2014-09-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满五唯一，楼层好，阳光好，城北配套齐全
                  ",,"
                    适合家人居住，活动空间大，配套成熟，衣食住行都很方便，一家人居住
                  ","
                    向北30米农贸市场，买菜方便，向东600米，宝龙广场大型综合体，吃喝玩乐一应俱全，小区背靠融创十锦台小区，南面西林（小）学，锦城二中
                  ",平层,板楼,一梯两户,无,,,,,,,,,,,
25,['樱花雅苑南区'],临安-临安,119.69663655086,30.218843486533,165,16252,提前预约随时可看,103117788933,2,2室1厅1厨1卫,中楼层 (共9层),101.53㎡,暂无数据,南,框架结构,精装,,2021-10-25,商品房,2013-08-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    电梯房，自住精装修，餐客厅动静分离，户型方正，大阳台。
                  ",,,,平层,板楼,一梯两户,暂无数据,"
                    万马樱花雅苑位于钱王大街的南面，西面就是玲珑山。小区是个高绿地和大楼间距设计的花园洋房，小区停车位充足，物业工作负责。
                  ",,"
                    交通便利，公交；临安5路，588路，8路都能到。离杭临高速口也比较近。到地铁临安广场站2公里
                  ",,,,,,,,
26,['湖山云台苑'],临安-临安,119.74003477125,30.246600538929,178,21073,提前预约随时可看,103117507883,4,3室2厅1厨1卫,低楼层 (共32层),84.47㎡,84.47㎡,南 北,钢混结构,毛坯,,2021-10-06,商品房,2021-07-21,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
新小区，环境好，配套好，距离地铁口500米
                  ",,"
                    
孕婴老幼：本房人车分流，内部环境优美 首付不高：贷款方式不限，适合各类人群 家有老人：电梯房方便上下楼，有地铁口，离中医院1公里不到
                  ","
                    距离青山湖绿道500米左右，在建设中有一个大型50万方综合体。生活配套完善.一公里范围内能满足生活所需.
                  ",平层,塔楼,两梯四户,有,,,"
                    小区距离农林地铁口站1公里内，科技大道就在门口直达未来科技城
                  ",,,,,,,,
27,['宝龙旭辉城'],临安-青山湖科技城,119.829531,30.263693,257,26389,提前预约随时可看,103117466511,17,3室2厅1厨2卫,中楼层 (共32层),97.39㎡,暂无数据,南,框架结构,毛坯,,2021-10-03,商品房,2021-09-30,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    宝龙城 地铁上造  视野开阔 青山湖景 尽收眼底
                  ","
                    此房为刚刚交付 准新房，标准的三室两厅两卫双阳台格局，得房率高。卫生间都是明卫。
                  ",,,平层,板塔结合,两梯四户,有,,"
                    这套房子是70年住宅项目。因刚交付所以不满二年故有增值税5.3%、契税90方以上首套为1.5%、个人所得税1%。
                  ","
                    小区楼下就是青山湖科技城地铁站，地铁上造。地铁站门口有公交车可换乘至杭州或者临安方向，也有公共自己行车，方便出行。
                  ",,,,,,,,
28,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,220,24573,提前预约随时可看,103117657220,0,3室1厅1厨2卫,中楼层 (共33层),89.53㎡,暂无数据,南,钢混结构,毛坯,,2021-10-15,商品房,2021-03-29,普通住宅,未满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    此房满二无需增值税 楼层好 视野宽阔 小区环境好 户型好  
                  ",,,"
                    距离地铁口600 距离宝龙广场800米 小区配套齐全 生活便利
                  ",平层,板楼,两梯四户,有,,"
                    房屋产权为商品房 有一个点个税 一个点契税 满二无需增值税 
                  ",,,"
                    此房为毛坯房 可根据自己喜好装修自己的风格 户型好     
                  ",,,,,,
29,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,245,17508,提前预约随时可看,103114732524,24,3室2厅1厨2卫,高楼层 (共31层),139.94㎡,暂无数据,南,钢混结构,简装,,2021-04-28,商品房,2017-07-08,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    小区环境优美 满两年大三房 客厅层高6米 采光好视野开阔
                  ",,,"
                    青山湖科技城轻轨站近，，幼儿园，教育等，楼下有*市，宝龙综合体,小区的主要居住人群以青山湖街道的当地人为主，邻里之间相处和睦，气氛融洽。通过业主了解到，物业工作认真负责，口碑很好，小区干净整洁
                  ",平层,板楼,两梯三户,有,"
                    小区环境优雅，绿化多 ，配套设施齐全，提供自然、舒适的居住环境，物业管理完善，保安24小时值班。住户素质高。整体体现为一个高档住宅小区
                  ","
                    房子是满两年的，税费有1.5%契税，1%个税，无其他任务税费
                  ",,,,,,,,,
30,['公园城'],临安-临安,119.693822,30.239138,196,17921,提前预约随时可看,103116323524,9,3室2厅1厨2卫,中楼层 (共17层),109.37㎡,暂无数据,南,钢混结构,精装,,2021-07-28,商品房,2016-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,"
                    
公园城，高档装修，拎包入住， 地上集团品质，环境优美。
                  ",,"
                    
小区配有体育馆，图书馆，游泳池，老人饭后可以在小区可溜达，前面就是苕溪走路都挺方便的，年轻人下班回来可锻炼，陪小孩做亲子活动。


                  ","
                    公园城小区的旁边就是综合体，购物娱乐方便，出门就是苕溪景观带，周末的时候，可以全家出去走走。
                  ",平层,板楼,两梯两户,有,"
                    小区环境优美，24小时安保，人车分离更安全，有体育馆可以锻炼身体，小区里就有幼儿园，还有图书馆，露天游泳池
                  ",,,,,,,,,,
31,['星汇花园'],临安-青山湖科技城,119.827586,30.268679,255,19022,提前预约随时可看,103117281333,23,3室2厅1厨2卫,低楼层 (共32层),134.06㎡,暂无数据,南,钢混结构,精装,,2021-09-20,商品房,2019-06-28,普通住宅,满两年,非共有,"
                                有抵押 80万元
                              ",已上传房本照片,"
                    越秀自住精装，大三居，拎包入住，不看白不看
                  ",,,"
                    20万方的滨河公园距离我们小区只有200米，1公里还有70万方的狮山公园，出门遛弯儿还是带孩子玩都是很方便的；距离小区482米有个现已营业的星汇天地和168米高的五星万豪酒店，8万方的宝龙广场在2020年初10月份也已开业，星巴克、必胜客、谭鸭血均已入驻
                  ",平层,板楼,两梯四户,有,"
                    我们小区是越秀的开发商，广州国企，跨国公司15强，物业公司更是百强企业第17名，所以在小区安保这一块把控很严格，小区分为两期开发，外立面有两种风格，可以根据自己的喜欢来选择，小区内更是配备了小孩、青年和老人的游乐设施，可供游玩和休息
                  ",,"
                    此小区交通十分便利，素有“一高二铁三快速”之称。一高：指杭瑞高速；二铁：指直线距离1公里即可到达地铁16号线青山湖科技城站，和杭武高铁；三快速：指青山湖北的留祥快速路和南面的329国道西延。小区各路公交四通八达，都很方便
                  ",,,,,,,,
32,['江南路市政宿舍'],临安-临安,119.72199721189,30.233751166772,122,9917,提前预约随时可看,103117220492,20,4室2厅1厨2卫,高楼层 (共4层),123.03㎡,暂无数据,南,砖混结构,简装,,2021-09-16,商品房,2015-09-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,"
                    
此房满俩年，税费自理，楼层好、所处位置出行方便 
                  ","
                    适合各个年龄段家庭，*市银行肯德基就在200米内，位置靠城中街，无遮挡，采光好。
                  ",,"
                    子位于江南路和城中街交叉口，大约400米路，小孩读书方便，家长来回都比较方便。
                  ",平层,板塔结合,一梯一户,无,,,"
                    出门就有公交站805 802，出租车，广场地铁口900米来源百度地图
                  ",,,,,,,,
