,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,户型介绍,售房详情,适宜人群,装修描述,用水类型,用电类型,燃气价格,交通出行,税费解析,别墅类型,权属抵押
10,['望江家园西园'],上城-近江,120.19512,30.237937,406,45567,提前预约随时可看,103117827638,5,2室1厅1厨1卫,中楼层 (共16层),89.1㎡,平层,74.11㎡,板塔结合,南,钢混结构,简装,两梯六户,有,2021-10-27,已购公房,2009-12-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,180415685978,,,,,,,,,,,,,,,
11,['长睦锦苑'],上城-丁桥,120.244831,30.370193,172,24380,提前预约随时可看,103117830239,6,2室2厅1厨1卫,低楼层 (共14层),70.55㎡,平层,暂无数据,板楼,南,框架结构,简装,两梯三户,有,2021-10-28,商品房,2017-06-09,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211028IZ720889,"
                    视野开阔，采光充足，户型正气，满五年
                  ","
                    小区环境优美，保安二十四小时巡逻，小区自配健身器材等娱乐设施，小区门口有条河，绿化已经做好，晚饭过后可以带着家人一起散散步， 小区下商铺有小型市场，和各种小吃店，满足您的日常需求
                  ","
                    此房交通，菜市场都很方便，年轻人或者老年人都很适合居住，小区停车也方便，收费150元一个月，车位充足。
                  ",,,,"
                    
小区所在区域配套相对完善， 小区门口就是大润发， 距离到丁兰广场大约3公里左右，小区旁边是菜场，饭店都有，生活还是很方便的
                  ",,,,,,,,
12,['景芳六区'],上城-景芳,120.215537,30.277927,220,40242,提前预约随时可看,103117489045,1,2室1厅1厨1卫,低楼层 (共6层),54.67㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,无,2021-10-04,已购公房,1999-09-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,200222360072,"
                    新塘地铁口，小区中间，中间楼层，房东诚心出售
                  ","
                    位于新塘路和昙花庵路朝东、朝北方向，小区设有小公园， 社区服务，小区配套设施齐全等等
                  ","
                    此房生活配套齐全，出行方便 适合刚需过度家庭：成熟小区，交通便利
                  ",,,,"
                    
世纪联华，天虹购物广场，地铁口，公交站，501大厦，庆春银泰广场，杭州东站，邵逸夫医院
                  ",,,,,,,,
13,['丁桥兰苑'],上城-丁桥,120.241859,30.353453,230,26086,提前预约随时可看,103117469782,2,2室1厅1厨1卫,中楼层 (共11层),88.17㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,有,2021-10-03,商品房,2018-11-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,181118535381,"
                    房子满五唯..一，诚卖，可小刀.....
                  ","
                    小区停车位充足 保安24小时B3城站火车站，85到大关、81，99到景芳、95到运河广场、B支2到市府大楼、218到武林广场（夜间）.272到文一路。交通便利，生活方便。
                  ","
                    医院有丁桥镇社区卫生服务，杭州三级甲等中医院，丁桥分院。生活设施有新城广场，丁兰广场，物美大卖场，联华，必胜客，星巴克，..
                  ","
                    房毛坯的，自己可以按着自己喜欢的风格装修，不需要敲浪费钱。。。。
                  ",,,,"
                    B3城站火车站，85到大关、81，99到景芳、95到运河广场、B支2到市府大楼、218到武林广场（夜间）.272到文一路。交通便利，生活方便。
                  ",,,,,,,
14,['大学路新村'],上城-潮鸣,120.190746,30.258242,263,46915,提前预约随时可看,103117663500,27,2室1厅1厨2卫,低楼层 (共7层),56.06㎡,平层,暂无数据,板楼,南,混合结构,精装,三梯三户,有,2021-10-16,已购公房,2018-04-26,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190220579832,"
                    两房朝南厅朝南，大天井，精装，拎包入住
                  ","
                    楼下200米就是横河公园，东边150米就是贴沙河，散步的好去处 2 离浙二医院800米，浙一医院800米（参考搞得地图） 3 距离小区里的菜市场200米，距离翰林农贸市场300米， 生活便利
                  ",,"
                    
公交站点：公交金衙庄站（495米）、公交葵巷建国路口站（453米）、公交葵巷站（745米） 公交线路：11/K11、14/K14、29/K29、40/K40、49/K49、K55、62、87/K87、88/K88、K288、335/K335、K401、K51
                  ",,,,,,,,,,,
15,['紫薇公寓'],上城-闸弄口,120.194334,30.284598,420,47389,提前预约随时可看,103117566197,2,3室1厅1厨1卫,低楼层 (共25层),88.63㎡,平层,65.34㎡,板塔结合,南,框架结构,精装,两梯三户,有,2021-10-09,回迁房,2015-12-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,210707AX338764,"
                    满五唯一，精装修，房东诚心出售
                  ","
                    小区是2011年建成交付，绿城物业，小区环境优美，小区里面有泳池，小孩游乐场所，距离运河200米，距离闸弄口地铁口600米
                  ","
                    1公里之内有衣之家城市广场、盒马鲜生、机神农贸市场、文晖农贸市场、运河公园、解放军903医院、浙江省肿瘤医院分院、杭州市兰苑幼儿园紫薇园区等
                  ","
                    机场路里街站1602路。小区向北500多米：机神村站 5路;40路;50路;80路;111路;128路;135路;299路;1602路;隐西湖公交数字旅游2号线。小区距离1号线闸弄口地铁口600多米。距离火车东站一站地铁，去西湖边，三站地铁，生活出行方便
                  ",,,,,,,,,,,
16,['万科公园大道'],上城-笕桥,120.220689,30.316156,400,44688,提前预约随时可看,103117623880,10,3室2厅1厨1卫,中楼层 (共17层),89.51㎡,平层,暂无数据,塔楼,南,混合结构,精装,两梯三户,有,2021-10-13,商品房,2018-10-31,普通住宅,满两年,非共有,"
                                有抵押 100万元
                              ",已上传房本照片,211013LX415677,"
                    开发商精装修 自住 保养的很好 楼层好 看房方便，
                  ","
                    小区环境好 户型好 又是次新小区 适合每个人居住 万科物业为您的生活保驾护航！
                  ",,,"
                    小区南面有个大的草庄公园 平常没事可以遛弯 前面世纪联华商场方便购买生活用品 小区楼下商铺店面可以满足你们生活 近的医院笕桥医院 大型医院117和浙二医院
                  ",,"
                    三开间朝南 两房朝南厅朝南 一房朝北 视野采光很好。闹中取静。
                  ",,,,,,,,
17,['万科大家钱塘府'],上城-景芳,120.224574,30.27747,990,76971,提前预约随时可看,103117626777,20,4室1厅1厨2卫,低楼层 (共26层),128.62㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-10-13,商品房,2016-11-11,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,201007RJ297558,"
                    四房，东边套，视野开阔，钱江新城，房东诚售，精装修
                  ","
                    
万科大家钱塘府位于杭州市江干景芳，由杭州万科大家房地产开发有限公司, 杭州协鼎置业有限公司建成，小区人车分流，总建筑面积181257㎡，总占地面积51945㎡，共计房屋1351户，社区成熟，区域位置好，交通便利。小区物业万科物业，管理认真负责，改善优选。
                  ","
                    房龄新环境好，无遮挡采光好，四房东边套，两房朝南，户型方正。
                  ",,"
                    适合改善型家庭，四房满足置换家庭日常所需。开发商精装修拎包入住
                  ",,"
                    
天虹购物，乐购，新城时代广场，好莱坞广场，华联(钱塘府店)，水湘农贸市场，苏宁易购(新塘路店)，东站服装市场，杭州江和美海洋生活广场。
                  ",,,,,,,,
18,['好望角公寓'],上城-复兴,120.16569394559,30.210505443672,628,35778,提前预约随时可看,103117499222,5,4室2厅1厨2卫,中楼层 (共13层),175.53㎡,平层,暂无数据,板楼,南,混合结构,精装,两梯三户,有,2021-10-05,商品房,2005-05-16,商住两用,满五年,共有,"
                                有抵押 630万元 杭州联合银行 业主自还
                              ",已上传房本照片,200917NP482671,"
                    装修精致，一房朝南，客朝南 看江景  三房朝北，户型方正
                  ","
                    小区位于化仙桥路与之江路交叉口，沿玉皇山隧道到西湖风景区仅3公里，好望角建筑面积4万余平方米，由5幢小高层景观电梯组成
                  ","
                    
此房是四居室，一房朝南三房朝北，主卧带阳台，客厅朝南，厨房朝北，户型方正
                  ","
                    
小区门口就是钱塘江，距离100米左右。门口就是公交车站复兴路北口（公交车9、198、189、26、308、195、222、202....），交通便捷。
                  ","
                    联华，外婆家，各式小吃店，洗衣店，公交复兴路北口（公交车9、198、189、26、308、195、222、202.）
                  ",,,,民水,民电,3.1元/m3,,,,
19,['万象城悦玺'],上城-钱江新城,120.220466,30.25958,430,52128,有租户需预约,103117552412,2,1室1厅1厨1卫,中楼层 (共46层),82.49㎡,平层,暂无数据,板楼,东南 南,钢混结构,精装,四梯十一户,有,2021-10-09,商品房,2019-01-07,商住两用,满两年,共有,"
                                有抵押 350万元
                              ",已上传房本照片,201014ZW207542,"
                    
开发商精装修，钱江新城次新小区，景观好，户型方正。
                  ","
                    该房朝东南，可观江景 无任何建筑物，不遮挡，采光好，户型方正，利用率高，楼层视野佳

                  ",,"
                    轨道交通：4号线钱江路站，江锦路站、2号线庆春广场站，钱江路站 ;公交路线：901路：富春路民心路口站,市民之家西大门站；自驾路线：钱江路与庆春东路交叉路口。
                  ","
                    综合商场：万象购物城、来福士广场、砂之船奥特莱斯等； 医院：邵逸夫医院（三级甲等）；内部配套：万象购物城、柏悦酒店、万象城二期名品街、写字楼 ; 公 园：钱江广场、世纪花园。
                  ",,,,商水,商电,,,,,
20,['濮家新村'],上城-闸弄口,120.204937,30.289282,245,40610,提前预约随时可看,103117732677,4,2室2厅1厨1卫,中楼层 (共5层),60.33㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,无,2021-10-21,已购公房,1997-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211021IL030662,"
                    
满五不唯一  南北通透   一梯两户，自住装修
                  ","
                    主城区大型小区，菜场，就近上学，华润万家，医院，商场均有，公交、1号线地铁沿线，进出相当方便
                  ","
                    
濮家公园旁边，旁边解放军903医院，火车东站，华润万家总部，有衣之家大型广场。小区里有濮家体育公园，南面就是运河公园，适宜居住，地铁、公交出行便利。
                  ",,,,,,,,,,,,
21,['中豪国际'],上城-城东新城,120.228976,30.296852,86,18639,提前预约随时可看,103117846756,5,1室1厅0厨1卫,中楼层 (共15层),46.14㎡,平层,33.69㎡,板楼,西,钢混结构,简装,四梯二十四户,有,2021-10-29,商品房,2018-11-27,商住两用,满两年,共有,"
                                有抵押 28万元 杭州联合农村商业银行股份有限公司四季青支
                              ",已上传房本照片,190411365186,"
                    
主卧落地窗采光面广，纯毛坯可以根据自己的喜好装修
                  ","
                    2018年刚交付的次新房，纯毛坯，主卧落地窗可以自己改造出来一个阳台
                  ",,"
                    房子没有抵押，出租办公了，业主一次性买来的，产权清晰交易安全放心
                  ","
                    彭埠地铁口C出口300米距离，港龙城娱乐综合体180米，小区自带配套，健身房餐厅快餐店已经正常营业
                  ",,,,商水,商电,,,,,
22,['采荷路33号'],上城-采荷,120.201079,30.257282,290,48569,提前预约随时可看,103117785892,6,2室1厅1厨1卫,高楼层 (共6层),59.71㎡,平层,54.25㎡,板楼,南 北,砖混结构,简装,一梯两户,无,2021-10-25,商品房,2010-04-08,普通住宅,满五年,共有,"
                                有抵押 30万元
                              ",已上传房本照片,200428316876,"
                    
此房满五年且业主名下只有一套房子，免增值税，免个税
                  ","
                    此房户型正气，两房朝南，客厅朝北，全通透，前无遮挡，采光不受影响
                  ",,"
                     公交线路多 ，道路宽广 ，停车位多 交通便捷 80 34 516路公交 火车城站离小区三公里出，地铁口在以北500处，公交站台在小区门口，方便与快捷
                  ","
                    小区配套齐全，采荷第二幼儿教育集团 浙江省青春医院 邵逸夫医院 世纪华联 北京银行 交通银行 采荷公园 采荷文化园等优质公园
                  ",,,,,,,,,,
23,['建国南苑'],上城-鼓楼,120.183001,30.242751,230,41880,提前预约随时可看,103117722590,5,2室1厅1厨1卫,低楼层 (共7层),54.92㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯五户,无,2021-10-20,商品房,2007-12-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211016DG657884,"
                    此房满五年，低楼层，全明西边套，采光没遮挡，业主诚心出售
                  ","
                    此房所在小区为97年左右的房改房，绿化面积达30%，楼间距大，采光好，在五号线地铁站旁
                  ","
                    小区配套齐全，交通出行便利 ，生活配套齐全，菜市场、医院、银行和大型联华等等
                  ","
                    出行便利，房子出行配套齐全，河坊街地铁口5号线和7号线，以及各个公交车站
                  ",,,,,,,,,,,
24,['复兴南苑'],上城-复兴,120.174019,30.215071,215,44736,提前预约随时可看,103117753099,6,2室1厅1厨1卫,中楼层 (共7层),48.06㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无,2021-10-22,已购公房,2019-04-28,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190315779175,"
                    精装修，采光充足，中间楼层！诚心出售！看房方便！
                  ","
                    复兴南苑位于之江路525号，美政路和洋泮路中间。复兴南苑共有3批年代的房子分别室1998年、2000年和2005年。 2005年的房子属于江景房。
                  ","
                    小区有工商银行、建设银行、邮政银行等。该地块配套成熟，生活便利。小区3号门正式复兴农贸菜市场、小吃店有鲜丰小吃、兄弟面馆、小狗面等网红餐饮
                  ","
                    小区3号门口复兴南街洋绊路口公交站有62路，1号门口美政路公交站有196路，复兴路紫花路口公交站有133路、119路、9路、202(夜间线)、308路、280高峰线、39路、20路等
                  ",,,,,,,,,,,
25,['郡枫绿园东区'],上城-丁桥,120.226072,30.347865,205,32556,下班后可看,103117704221,8,2室1厅1厨1卫,高楼层 (共14层),62.97㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-10-19,商品房,2018-08-15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,211019NE879312,"
                    龙湖天街旁地铁口，精装修两房满五，诚心卖，价格可谈
                  ","
                    小区楼下就有公园，小区西边800米有地铁口，小区北边1000米有大型综合体龙湖天街。小区楼下还有三所幼儿园 旁边都是高档小区，北面龙湖天街步行即可，南面地铁3号线同协站步行即可，大型商场都在旁边。读书步行一会从幼儿到初中。
                  ","
                    约30万方综合体，龙湖天街口已开业，新城国际广场，建成为集商场、娱乐、休闲、办公和酒店为一体，满足日常生活所需；华丰规划近百万方综合体包括华丰汇、尚品谷和泰地北上新城，另外包括两家大酒店，杭州华悦国际酒店。
                  ","
                    地铁三号线同协路站，800米快速公交3号线同协路站点，华丰公交总站，同协路、石大快速路和秋石高架。 公交：同协路上应家塘(85路, 99路, 135路, 218路, 867路)下车向北步行200米。
                  ",,,,,,,,,,,
26,['锦润公寓'],上城-火车东站,120.207118,30.306324,410,45805,提前预约随时可看,103117728033,0,3室1厅1厨1卫,高楼层 (共16层),89.51㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯四户,有,2021-10-20,商品房,2021-08-16,普通住宅,未满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,211024AX296623,,,,,,,,,,,,,,,
27,['景芳四区'],上城-景芳,120.212133,30.27728,310,42536,提前预约随时可看,103116606107,15,3室1厅1厨1卫,高楼层 (共7层),72.88㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-08-13,商品房,1998-04-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,210805FR406140,"
                    满五唯一，有架空层，上去就是2楼，实际楼层低半层，不沿马路。
                  ","
                    景芳四区是杭州成熟的小区，多年来通过不断的完善和建设，生活配套公共设施完善，房子多以45至90方的为主，户型合理，小区整体比较安静，适合居住，街坊邻居朴实友善。
                  ","
                    此房位于配套成熟的景芳板块，世纪联华，乐购，天虹购物广场，庆春银泰以及邵逸夫医院等配套设施都在2公里范围内，此外500米以内有一个大型水湘苑农贸市场，满足居民的日常生活所需。距离地铁4号线景芳站800米，新塘站1.2千米等等
                  ","
                    小区距离四号线景芳地铁站直线500米左右，小区门口公交车站公交：18K18路、20K20路、K55、K56、87K87路、K518路、K602路、864路，交通方便，快捷。
                  ",,,,,,,,,,,
