,小区名称,区域位置,经度,纬度,总价,单价,看房时间,链家编号,关注度,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,房源核验统一编码,查询房管备案记录,核心卖点,小区介绍,周边配套,适宜人群,户型介绍,税费解析,装修描述,售房详情,用水类型,用电类型,燃气价格,别墅类型,交通出行,权属抵押
10,['中铁九逸'],临平区-东湖,120.29727,30.44317,198,22300,提前预约随时可看,103117638704,10,3室2厅1厨1卫,中楼层 (共24层),88.79㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,两梯四户,有,2021-10-14,商品房,2019-06-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,211016ZM615217,,,,,,,,,,,,,,,
11,['复地连城国际'],临平区-乔司,120.29616107977,30.341345267891,330,20649,提前预约随时可看,103111933924,95,5室2厅1厨2卫,高楼层 (共12层),159.82㎡,跃层,133.18㎡,板塔结合,南 北,钢混结构,毛坯,四梯两户,有,2020-10-27,商品房,2011-01-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,201027KI706930,"
                    交通便利近地铁 户型方正 房东诚心出售
                  ","
                    
复地连城国际是2009年的小区，小区内部清爽干净。楼层位置也好。北临绕城高速，东临规划中高速铁路，南临开发大道，西临杭海路
                  ","
                    联华*市广场，乔司夜市，地铁1号线，大型综合体乔司华荣城步行街，华贸鞋城，杭州唯一的宜家家居等。
                  ","
                    复地连城国际小区，出门就是杭海路，交通方便，距离乔司站仅有900米（来自高德地图），距离宜家家居、物美、华荣城只有700米（来自高德地图）！
                  ",,,,,,,,,,,
12,['丰梅路10-21号'],临平区-临平新城,120.30523524754,30.419632965831,183,21854,提前预约随时可看,103114764514,128,3室1厅1厨1卫,中楼层 (共6层),83.74㎡,平层,77.6㎡,板楼,南,混合结构,精装,一梯三户,无,2021-04-30,商品房,2010-12-09,普通住宅,满五年,非共有,"
                                有抵押 52万元
                              ",已上传房本照片,180603828014,"
                    
满五年税费少，沃尔玛边，三房户型，中间楼层，房东诚心出售
                  ","
                    
适合老人小孩居住，楼层也不是太高，在沃尔玛*市边上，旁边配套完善。
                  ",,"
                    
本房是精装三房，很舒适，楼层也好，可拎包入住。全明户型，采光无影响
                  ","
                    
本房是全明户型，两个房间朝南，一个房间朝北，采光很好，在3楼，楼层佳
                  ","
                    
小区配套：有综合体莱蒙中 心，内设*市沃尔码，购物、娱乐等，南面1公里内（来自百度地图）人民广场，银泰城，休闲出行购物均很方便 中山菜场，妇保医院，临平公园就在旁边
                  ",,,,,,,,,
13,['后横弄'],临平区-临平新城,120.30899617874,30.426402663367,198,15327,提前预约随时可看,103117013851,13,4室2厅1厨2卫,中楼层 (共7层),129.19㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,无,2021-09-04,商品房,2005-04-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,190611944439,"
                    楼层好 不用太辛苦爬楼梯 单价低  四房容易满足需求 满五唯一 
                  ","
                    这套房子就在后横弄边上，离北大街就170米左右，小区没有合围起来 是敞开式的 出行方便，小区楼间距还是可以的 差不多有10米左右的距离。
                  ","
                    房子就在老城区闹市区 旁边配套成熟 楼层不高 大四房  适合一家三代同住 房子面积大 价格低 ，需要大面积的刚需也可以考虑。
                  ",,"
                    房东是为了把户口迁走 要卖掉房子才能迁，所以目前是比较急的 价格也比较低的。
                  ",,"
                    房子是老式装修 到目前为止装修已经有5-6年了 不过保持的还不错  如果手头紧 也可以直接拎包入住 总体还是不错的 .
                  ",,"
                    房子是满五唯一的 没有增值税和个人所得税，就像新房一样 只交一个契税。
                  ",,,,,,
14,['恒基旭辉府'],临平区-崇贤,120.14265298131,30.389746035979,273,27014,提前预约随时可看,103117203756,18,3室1厅1厨2卫,中楼层 (共8层),101.06㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,2021-09-15,商品房,2017-07-19,普通住宅,满两年,共有,"
                                有抵押 60万元
                              ",已上传房本照片,210127FL961016,"
                    洋房，得房率高，交通便利，环境优雅
                  ","
                    小区为高层和洋房互配，绿化面积达30%，环境优雅，配有儿童乐场，公园，蜂巢，生活配套设施一应俱全。
                  ","
                    三房两卫，两房朝南，一房朝北，厨卫朝北，全明户型，客厅宽敞朝南，采光好，阳光充足
                  ",,,"
                    两公里到上塘高架，4公里秋实高架，61、B7路公交车站，3公里南庄兜收费站上高速。
                  ",,,,,,,,,
15,['广厦天都城天熙公馆'],临平区-星桥,120.249879,30.389766,499,20374,提前预约随时可看,103112614683,10,5室2厅1厨3卫,中楼层 (共16层),244.93㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,2020-12-12,商品房,2018-07-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,201126TZ923959,"
                    地铁口，高档住宅，房东诚售，中上楼层，视野开阔
                  ","
                    
天熙公馆为天都城新一代住宅产品用心系列，位于天都城高品质优越位置。项目遵循以人为本，生态健康的居住理念，无论在建筑布局、户型设计、景观营造上诠释了*目山河、大雅宽适的生活大境界，运用法式手法，打造艺术尊贵的法式高品质生活社区。
                  ","
                    杭州市余杭区星桥街道社会卫生服务中 心、星桥街道万乐社区卫生服务站、星桥农贸市场、勾庄蔬菜批发部 中国建设银行(藕花洲大街西段)、中国工商银行 联华*市、风起农贸市场天都分场、沃尔玛、600米香榭丽舍大街
                  ","
                    
公交535路、371路、B3快速公交，可达主城区。天都城将开通社区巴士直通地铁站；地铁三号线天都城站已桂花落定，穿天都城而过并设置站点；留石快速、秋石快速、同协路，无缝对接市区，快速到达武林广场，大关小区。
                  ",,,,,,,,,,,
16,['赞成檀府'],临平区-临平新城,120.323442,30.438293,220,24176,提前预约随时可看,103117765162,1,3室2厅1厨1卫,高楼层 (共29层),91㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,2021-10-23,商品房,2016-12-20,普通住宅,满两年,共有,"
                                有抵押 64万元 业主自还
                              ",已上传房本照片,211023RC207234,"
                    房子新。该楼的位置好，前面没有遮挡， 采光好，格局好，


                  ","
                    小区是赞成国企开发的项目。小区品质高较新，15年-16年建成，绿化好,交通比较方便。项目总占地面积约10.6万方，总建筑面积约32万方，由新古典高层公寓和法式大院落联墅构筑而成，依地形布局，将整个园区布局为“一园、两轴、三院、四巷”。


                  ","
                    房龄是15年的，小区新环境好。中高楼层采光佳，前面无遮挡住的巴适。南北较为通透，户型也方正


                  ",,,"
                    房子是大三房，视野比较开阔，可以拎包入住的，有余杭区第五人民医院城东分院、九曲营路步行街、中都步行街，银泰百货，工商银行等。


                  ",,,,,,,,,
17,['经纬玲珑家园'],临平区-东湖,120.30875,30.446665,179,20829,提前预约随时可看,103117760691,6,3室1厅1厨1卫,中楼层 (共6层),85.94㎡,平层,76.38㎡,板楼,南,钢混结构,精装,一梯两户,无,2021-10-23,商品房,2009-12-30,普通住宅,满五年,共有,"
                                有抵押 165万元 杭州联合农村商业银行海宁支行 业主自还
                              ",已上传房本照片,211023TS188443,"
                    满五唯一 税少 楼层适中 格局方正 全明通透 大阳台 采光佳 ..
                  ","
                    适合全部人群 .本房也适合养老人群居住 ，楼层适中，公园门口，小区别致清爽.出行方便
                  ",,,"
                    小区有世纪公园一路之隔，公共交通就在小区门口，800左右有综合体，蜗牛广场。 配套出小区就是世纪公园，小区门口就有公交站台，100米就有酒店，200米就有大型的餐厅，娱乐休闲 书吧你，室内篮球场等等
                  ",,,,,,,,,,
18,['理想银泰城'],临平区-临平新城,120.309716,30.411395,350,31273,提前预约随时可看,103117723875,1,3室2厅1厨2卫,中楼层 (共47层),111.92㎡,平层,暂无数据,板楼,东南,钢混结构,精装,三梯四户,有,2021-10-20,商品房,2017-04-02,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,210605WJ440572,"
                    临平地铁口 理想银泰城 精装修出售
                  ","
                    理想银泰城位于杭州市临平新城CBD中，位于杭州市地铁一号线临平站200米（来自百度地图），集酒店、公寓、住宅、写字楼于一体，地下购物街和地铁出口直接相连，并贯通一号线地下入口，地下车库及充足车位，集居住，商务和娱乐休闲 为一体占尽新经济..
                  ","
                    人民医院、妇幼保健医院、第五人民医院银行：中国银行、工商银行、建设银行、农业银行、杭州银行其他：文化艺术、李菊体育、人民广场、余杭..
                  ","
                    交通便利，出门200米就是地铁1号线临平站（来自百度地图），距离2.8公里是沪杭甬高速入口（来自百度地图），距离3.4公里是余杭高铁站（来自百度地图）
                  ",,,,,,,,,,,
19,['华元欢乐城'],临平区-临平新城,120.307613,30.401478,249,27922,提前预约随时可看,103117778575,7,3室1厅1厨1卫,中楼层 (共34层),89.18㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,2021-10-24,商品房,2017-09-22,普通住宅,满两年,共有,"
                                有抵押 40万元
                              ",已上传房本照片,211024HW298847,"
                    地铁口，自住装修，中高楼层，采光好，可拎包入住
                  ","
                    1.环境优美，大型购物，风气浓厚。2.占地面积大，社区采用具有硅谷特色的风采园林。多彩化生活配套，国际智能化配置，具有安全防护措施。3.停车位充足，集居住、商务和娱乐休闲为一体的新经济体。4·华元开发商及物业，位于临平南苑地铁口，总占地面约6.8
                  ","
                    医院：余杭区人民医院； 内部配套：车库、购物、电影院、餐饮、酒店； 相关配套：世纪联华、余杭市民之家、余杭区体育馆、余杭博物馆、余杭图书馆、临平大剧院等。
                  ","
                    距离南苑地铁站a口470米，余杭高铁站2.5KM，望梅高架路500米连通东湖高架路等各大主干道
                  ",,,,,,,,,,,
20,['中都广场'],临平区-临平新城,120.310682,30.425999,170,19649,提前预约随时可看,103117716983,5,3室1厅1厨1卫,中楼层 (共7层),86.52㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯两户,无,2021-10-20,商品房,2009-06-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,211020XB940030,"
                    满五年，房东自住简单装修，临平城区位置，配套齐全
                  ","
                    ：房子是商品房，70年的住宅，此房满五唯一，税费比较少，只有契税，
                  ",,"
                    出行方便，出门就是公交车站，几个公共自行车站点。走路到步行街仅100米。地铁1000米，后面东湖路是东湖高架路，上了高架就是临平高架的三路一环，可以到达杭州各个地方
                  ",,,"
                    中都广场，九曲营步行街，银泰百货，第五人民医院，浦发银行，中国农业银行，中信银行，大红鹰市场
                  ",,,,,,,,
21,['保亿风景晨园'],临平区-乔司,120.304941,30.375719,225,25427,提前预约随时可看,103117772938,1,3室2厅1厨1卫,高楼层 (共25层),88.49㎡,平层,暂无数据,塔楼,南 东,钢混结构,简装,两梯十九户,有,2021-10-24,商品房,2016-05-26,普通住宅,满五年,共有,"
                                有抵押 28万元 中国工商银行
                              ",已上传房本照片,211024LX249157,"
                    此房满五不唯一 简装 中高楼层 视野好采光充足 东边套价格可谈。
                  ","
                    保亿风景晨园，项目位于翁梅居住功能区中位置，北邻杭浦高速，西邻杭海路，南接九堡，距离地铁1号线翁梅站出口300米，可直达武林广场，与主城无缝对接。小区旁目前涵盖了35万平方米绿地翁梅地铁上综合


                  ","
                    边上地铁翁梅绿地艺尚魔方综合体，农贸市场，翁梅门诊医院，小区自带底商.楼下也有小店，可以买菜，生活便利，大型联华，永辉，物美C市，宜家家具


                  ","
                    房子满五不唯一，无综合税，需缴纳个税1%。契税1%。暂无其他税费。 

                  ",,,"
                    出行便利，距1号线翁梅地铁站步行仅500米。地铁口就是公交站台，公交路线可到市区.小区南侧翁梅街，开车向东行驶可以上东湖高架；交通条件不错，余杭高铁站，火车东站都方便。


                  ",,,,,,,,
22,['运河玲珑香榭'],临平区-东湖,120.30548942429,30.460381925753,155,17158,提前预约随时可看,103117819710,13,2室2厅1厨1卫,高楼层 (共27层),90.34㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯三户,无,2021-10-27,商品房,2017-10-30,普通住宅,满两年,共有,"
                                有抵押 30万元
                              ",已上传房本照片,210320HN440333,,,,,,,,,,,,,,,
23,['景瑞御华府'],临平区-临平新城,120.282766,30.393227,208,23215,提前预约随时可看,103117744966,3,3室1厅1厨1卫,低楼层 (共24层),89.6㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-10-21,商品房,2017-12-28,普通住宅,满两年,共有,"
                                有抵押 43万元 浦发银行 业主自还
                              ",已上传房本照片,211011HB210176,"
                    业主诚心出售，夹边套户型，不靠 铁路高架，双阳台采光..
                  ","
                    景瑞御华府，位于杭州余杭区内属临平新城板块，邻近世纪大道。距离余杭高铁站和南苑地铁站约2公里。整个小区西面沿世纪大道主市政绿化带，可有效阻隔车辆噪音的同时可为园区景观的延伸，加上南侧河流景观，形成近公园


                  ","
                    商场chao市： 世纪华联chao市(世纪大道西),杭州华联chao市(风华苑店) 餐厅： 骨头饭店(世纪大道西店) 医院：丁山苏家社区卫生服务站,星桥街道太平社区社区卫生服务站,南苑街道社区卫生服务,余杭区南苑街道联盟社区卫生服务站


                  ",,,,,,,,,,,,
24,['邱山大街114-755号'],临平区-临平新城,120.30393718723,30.423405378742,179,14902,提前预约随时可看,103117716390,11,3室2厅1厨1卫,高楼层 (共6层),120.12㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-10-19,商品房,2007-04-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,211020DF919145,"
                    高楼层，视野宽阔，大面积，阳光充足，单价低。小区比较安静
                  ","
                    房东年龄大了，将多余的房子出售，所以诚心卖。房子已经满五年，但不是唯一，房东在临平本地，签约方便。
                  ",,"
                    公交站点：景星观路口、景山路口、、区委党校、临平公园、邱山菜场、、朝阳新苑、邱山大街景星观路口、余杭区交通大厦、邱山小区 公交线路：K338、763、796、内环773路、外环774路、771、770
                  ",,,,,"
                    
临平主城区，沃尔玛市，第五人民医院，银行，步行街，银泰城，配套设施一应俱全，菜场，出行方便。
                  ",,,,,,
25,['乔司商贸苑'],临平区-乔司,120.299539,30.352881,75,15325,提前预约随时可看,103109638903,94,2室2厅1厨1卫,高楼层 (共7层),48.94㎡,跃层,暂无数据,板楼,东,钢混结构,精装,两梯四十二户,有,2020-06-09,商品房,2017-06-08,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片,190531859697,"
                    此房是复式的公寓 上下二层 精装装修 带电梯 出行方便
                  ","
                    
乔司商贸苑位于杭州市余杭乔司，共计房屋446户。（根据百度网站）
                  ","
                    
农贸市场，世纪联华*市，宜家家居，物美*市，华荣城商场，电影院，健身房等，配套齐全。
                  ","
                    
公共交通：309、K509、k339，地铁1号线乔司地铁站。
                  ",,,,,,民水,民电,,,,
26,['万宝城'],临平区-东湖,120.290982,30.438955,55,13978,提前预约随时可看,103114835324,67,2室1厅0厨1卫,中楼层 (共23层),39.35㎡,跃层,暂无数据,塔楼,东,钢混结构,精装,三梯二十七户,有,2021-05-04,商品房,2018-01-30,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,180816363518,"
                    
自带8万方综合体，购物方便，出行便捷，业主诚心卖，精装修
                  ","
                    
万宝城，蓝江菜场，蓝江购物广场，肯德基，小区配套：游泳池，篮球场，儿童游乐场，园区食堂，老年大学，园区医院 离大型生活广场万宝城1公里，妇产医院，蓝江菜场，运动休闲场，沃乐玛，银泰城，步行街
                  ",,"
                    房子是精装修的，家电齐全，床，沙发都有，拎包入住！ 出租也快
                  ",,,,"
                    小区门口有公交车411路直达目前临平地铁站，还有391路直达杭州火车东站，还有8411路夜间公交，小区西边星河路直通星河隧道到临平山南，方便快捷。小区后面过一个红绿灯就是秋石高架入口，上下高架到杭州主城区很方便。
                  ",,商水,民电,,,,
27,['美致生活广场'],临平区-塘栖,120.257268,30.4733,66,20466,提前预约随时可看,103115956358,14,3室2厅1厨2卫,高楼层 (共19层),32.25㎡,跃层,暂无数据,塔楼,南,钢混结构,精装,四梯三十二户,有,2021-07-06,商品房,2018-02-08,商住两用,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,210706ND199915,"
                    楼层好，户型佳，层高5.8米，LOFT公寓，精装修，通燃气
                  ","
                    
小区物业（杭州嘉盛物业管理有限公司）物业管理很到位。生活配套齐全，自带小公园适合长期居住
                  ","
                    盘设置好、档次高，实用面积很大，还精装修，属于钱江经济开发区，环境好，设计合理
                  ",,,,,"
                    
320国道、09省道、杭宁高速公路、杭浦高速、沪杭甬高速、海宁东西大道和杭州绕城公路，其中沪杭甬高速公路、320国道和绕城公路在本区南面经过，09省道和杭宁高速公路在本区西面经过
                  ",,民水,民电,3.1元/m3,,,
28,['美致生活广场'],临平区-塘栖,120.257268,30.4733,65,20156,提前预约随时可看,103109551689,15,3室1厅1厨2卫,低楼层 (共19层),32.25㎡,跃层,暂无数据,塔楼,东,钢混结构,精装,四梯三十二户,有,2020-06-04,商品房,2018-04-25,商住两用,满两年,共有,"
                                无抵押
                              ",已上传房本照片,200612353171,"
                    楼盘档次高、户型设置好、楼盘也很多，道路宽敞，居住的好选.
                  ","
                    万宝城，蜗牛广场，玖玖国际，银泰城，欢乐城，临平公园，世纪公园等，
                  ",,"
                    此房是公寓，有增值税附加（成交价-原购房价）x5.6%1.05、土地增值税1%、个人所得税1% 、契税3%
                  ",,,"
                    交通出行： 320国道、09省道、杭宁高速公路、杭浦高速、沪杭甬高速、海宁东西大道和杭州绕城公路，其中沪杭甬高速公路、320国道和绕城公路在本区南面经过，09省道和杭宁高速公路在本区西面经过
                  ",,,民水,民电,3.1元/m3,,,
